ID,ID2,Feature,Feature2,swap_proportion,Type,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_0,F_1,sex,age,0.1,NII,70.335,70.335,0,0,0.13971357903482584,0.0,0.6998008416941066,0.010175267770204478,0.0016966963966374346,0.020480110164228967,0.957,29.665,0.009569377990430622,1.0,0.378,0.378,0.605,0.605,0.234,0.234
F_0,F_2,sex,Pstatus,0.1,NII,70.335,70.813,0,0,0.2613801725141405,0.0007510600759918146,0.6804797124684911,0.04058363126872163,0.005938638780119802,0.038304073171849154,3.349,29.187,0.03349282296650718,1.0,0.378,0.373,0.605,0.605,0.234,0.227
F_0,F_3,sex,Medu,0.1,NII,70.335,71.292,0,0,0.2794271580696517,0.003004240303967258,0.6764810741968117,0.06036274324579641,0.0067394598339888465,0.0407779302011024,3.828,28.708,0.03827751196172249,1.0,0.378,0.359,0.605,0.593,0.234,0.211
F_0,F_4,sex,Fjob,0.1,NII,70.335,71.77,0,0,0.17111348938666637,0.0007510600759918146,0.6960539432068356,0.020291815634360826,0.0025452459868447732,0.02506474972657836,1.435,28.23,0.014354066985645933,1.0,0.378,0.373,0.605,0.617,0.234,0.219
F_0,F_5,sex,reason,0.1,NII,70.335,72.249,0,0,0.197584838318736,0.001502120151983638,0.6924179916140918,0.03005698005698004,0.0033689660114146463,0.028892739521688523,1.914,27.751,0.019138755980861243,1.0,0.378,0.388,0.605,0.642,0.234,0.227
F_0,F_6,sex,guardian,0.1,NII,70.335,71.292,0,0,0.13971357903482584,0.001502120151983638,0.6999107172427277,0.02003798670465335,0.0016722696147772101,0.020382341568134336,0.957,28.708,0.009569377990430622,1.0,0.378,0.388,0.605,0.63,0.234,0.234
F_0,F_7,sex,traveltime,0.1,NII,70.335,70.335,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,29.665,0.0,0.0,0.378,0.378,0.605,0.605,0.234,0.234
F_0,F_8,sex,studytime,0.1,NII,70.335,70.335,0,0,0.2794271580696517,0.001502120151983638,0.6767329212079127,0.0500949667616334,0.006762358804689516,0.04090833011479183,3.828,29.665,0.03827751196172249,1.0,0.378,0.388,0.605,0.617,0.234,0.242
F_0,F_9,sex,schoolsup,0.1,NII,70.335,69.856,0,0,0.17111348938666637,0.0022531802279754523,0.6963116753711682,0.029831144465290803,0.002496405363184815,0.024903224480129563,1.435,30.144,0.014354066985645933,1.0,0.378,0.392,0.605,0.617,0.234,0.25
F_0,F_10,sex,famsup,0.1,NII,70.335,71.292,0,0,0.13971357903482584,0.0015021201519836247,0.6998385174341234,0.020233985423858854,0.0016890821037760248,0.020386560303428815,0.957,28.708,0.009569377990430622,1.0,0.378,0.368,0.605,0.605,0.234,0.219
