ID,ID2,Feature,Feature2,swap_proportion,Type,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_0,F_1,age,race,0.1,NII,81.74,81.412,0,0,0.7328851981590871,0.0009899078838724942,0.9977922629221033,0.03260170847992416,0.002047977414790727,0.022058302835060432,1.269,18.588,0.01893426447067256,18.91169859030362,0.143,0.143,0.417,0.41,0.057,0.059
F_0,F_2,age,sex,0.1,NII,81.74,81.29,0,0,0.8472889240573289,0.001467600709534883,0.9977828308538785,0.04454273075030859,0.002776281324032441,0.025522639369839756,1.474,18.71,0.02371699909770161,17.62120972214342,0.143,0.138,0.417,0.397,0.057,0.056
F_0,F_3,age,capital-gain,0.1,NII,81.74,77.953,0,0,1.5192005189207052,0.004659232698884373,0.9978569454782804,0.10204585107461421,0.008240380948365983,0.044968337498292564,5.834,22.047,0.055713568620449204,4.1057443193315,0.143,0.18,0.417,0.415,0.057,0.106
F_0,F_4,age,capital-loss,0.1,NII,81.74,79.427,0,0,1.2615154046090544,0.0033790914380195736,0.9978631792538608,0.07283632499748763,0.005751900317607354,0.03752775338116952,3.91,20.573,0.04072495561439668,7.175068930607447,0.143,0.169,0.417,0.423,0.057,0.089
F_0,F_5,age,hours-per-week,0.1,NII,81.74,80.819,0,0,0.9776115274599763,0.0015094947209333244,0.9978462729329289,0.04175282901764343,0.0035768640051123133,0.02936169350518652,2.149,19.181,0.028087206576428197,9.117792072678155,0.143,0.147,0.417,0.405,0.057,0.065
F_1,F_2,race,sex,0.1,NII,81.74,81.904,0,0,0.6095499764497053,0.0012059525695971881,0.9977553598308458,0.02871610659417704,0.0014777003517880299,0.018405152282947253,0.86,18.096,0.014966373067181293,20.72643851128062,0.143,0.141,0.417,0.417,0.057,0.054
F_1,F_3,race,capital-gain,0.1,NII,81.74,78.096,0,0,1.4242848794832463,0.0040927556162380216,0.9978531854185889,0.09099570616948824,0.007262667574585118,0.04223342229443385,4.995,21.904,0.04990836533797985,6.322003501531007,0.143,0.175,0.417,0.409,0.057,0.102
F_1,F_4,race,capital-loss,0.1,NII,81.74,79.632,0,0,1.221111750341327,0.0034474205085294873,0.9978632853101439,0.0709861142287089,0.005378507907662063,0.0362828505588821,3.664,20.368,0.03871445542249939,5.947052416723144,0.143,0.17,0.417,0.429,0.057,0.088
F_1,F_5,race,hours-per-week,0.1,NII,81.74,81.31,0,0,0.8465742464569911,0.0016048895350603398,0.9978546454551802,0.03327105206607028,0.0027193795795076,0.025466669062698476,1.658,18.69,0.023004336625635273,11.191163913784575,0.143,0.148,0.417,0.419,0.057,0.063
F_2,F_3,sex,capital-gain,0.1,NII,81.74,77.932,0,0,1.4959231494074272,0.004357807943475247,0.9978607275247596,0.09832549109985597,0.008001653259486936,0.04433967360209197,5.527,22.068,0.05432434151352224,4.995819143078965,0.143,0.177,0.417,0.41,0.057,0.104
F_2,F_4,sex,capital-loss,0.1,NII,81.74,79.652,0,0,1.287375038023466,0.0034820852562240288,0.9978624692100981,0.07585056002821913,0.005986512010280715,0.03829364155645536,4.012,20.348,0.04216439893248594,5.749322281403337,0.143,0.17,0.417,0.43,0.057,0.088
F_2,F_5,sex,hours-per-week,0.1,NII,81.74,81.392,0,0,0.8324389142010178,0.0013929694200255647,0.9978488402993417,0.035058380522710875,0.002635359406293248,0.02504496296794551,1.658,18.608,0.022495228789869027,11.829824347588236,0.143,0.145,0.417,0.415,0.057,0.061
F_3,F_4,capital-gain,capital-loss,0.1,NII,81.74,77.994,0,0,1.5074419627507387,0.00545439426222644,0.9978643062762386,0.10613099608974828,0.008046120829989022,0.044455026145294105,5.752,22.006,0.054888488036187656,4.309918469139356,0.143,0.186,0.417,0.429,0.057,0.11
F_3,F_5,capital-gain,hours-per-week,0.1,NII,81.74,78.342,0,0,1.4529330151436093,0.004252494784583263,0.9978619602103495,0.09429321141560482,0.007550267764970781,0.043058528100860805,5.363,21.658,0.05173589272506061,5.513244931158558,0.143,0.177,0.417,0.417,0.057,0.101
F_4,F_5,capital-loss,hours-per-week,0.1,NII,81.74,79.447,0,0,1.2678714232338892,0.0038070698978718643,0.9978650234153756,0.07694632856444529,0.005771657187029938,0.03761086851562084,3.889,20.553,0.041034362760392,6.972175837672008,0.143,0.173,0.417,0.432,0.057,0.091
F_0,F_1,age,race,0.3,NII,81.74,80.123,0,0,1.3844408611453825,0.003734779698032653,0.9970592374246442,0.10254989404547458,0.00720153733014523,0.04156599587699995,4.156,19.877,0.06393400235530036,15.95000213033743,0.143,0.148,0.417,0.394,0.057,0.071
F_0,F_2,age,sex,0.3,NII,81.74,80.819,0,0,1.3797406231868554,0.00437565353438709,0.9970351866672648,0.12367883869216399,0.007260865952167215,0.041306072553299246,4.115,19.181,0.0663242942505191,11.354478411080638,0.143,0.133,0.417,0.376,0.057,0.056
F_0,F_3,age,capital-gain,0.3,NII,81.74,71.259,0,0,2.542632017229518,0.012813883425469536,0.9972502327985792,0.24774471359170996,0.022576410269943184,0.07448383071610734,16.172,28.741,0.15873168962711717,5.316389194261124,0.143,0.247,0.417,0.417,0.057,0.194
F_0,F_4,age,capital-loss,0.3,NII,81.74,75.312,0,0,2.139248038459639,0.009244905642317149,0.9972427782911542,0.18675652402074383,0.016420988810841183,0.06344075665974015,11.136,24.688,0.119585734973688,7.117633434484052,0.143,0.214,0.417,0.43,0.057,0.145
F_0,F_5,age,hours-per-week,0.3,NII,81.74,78.567,0,0,1.7341916874622845,0.005234446629001174,0.997193559926893,0.12853917281092533,0.01120612261862295,0.0520573931997526,6.735,21.433,0.08787691353467077,9.516405626680683,0.143,0.159,0.417,0.385,0.057,0.088
