ID,ID2,Feature,Feature2,swap_proportion,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_0,F_1,age,race,0.1,81.544,81.226,0.004020170503057474,0.004020170503057474,0.9743266518776079,0.0011962267320555248,0.9976164618645854,0.03472140943210074,0.0018772690929449373,0.020813626832669435,1.157,18.774,0.018273736086278244,12.308299555284172,0.143,0.141,0.414,0.402,0.058,0.059
F_0,F_2,age,sex,0.1,81.544,81.001,0.003064124508110888,0.003064124508110888,1.0686468255355392,0.0011125744649694536,0.9976133690625668,0.0375438644929908,0.0022339294220492197,0.022825894582198282,1.259,18.999,0.020779227804534783,14.210414954354498,0.143,0.139,0.414,0.393,0.058,0.059
F_0,F_3,age,capital-gain,0.1,81.544,78.012,0.008103254599360121,0.008103254599360121,2.0622529491355586,0.004447334473044297,0.997729585446168,0.0975516805071131,0.007610569373494274,0.04323071924730759,5.21,21.988,0.0524355653337552,4.847026132373784,0.143,0.179,0.414,0.414,0.058,0.105
F_0,F_4,age,capital-loss,0.1,81.544,79.803,0.12497412556053411,0.12497412556053411,1.6762724394996686,0.002868174559813338,0.9977398964002202,0.061893211803418044,0.0051452497169533346,0.035424316700291815,3.419,20.197,0.03731302731551695,6.268690171856778,0.143,0.162,0.414,0.417,0.058,0.082
F_0,F_5,age,hours-per-week,0.1,81.544,80.438,0.0172766480172446,0.0172766480172446,1.3718403718103778,0.0016381883446628179,0.9976991760558489,0.039469323851476466,0.0035696450361989663,0.029211938297094765,2.252,19.562,0.028706485559566286,7.744158174901623,0.143,0.149,0.414,0.403,0.058,0.069
F_1,F_0,race,age,0.1,81.544,81.165,0.0038713546628915685,0.0038713546628915685,1.0360890212765799,0.0010757179497546275,0.9976063555815249,0.03459559105436208,0.002107594757046672,0.02214355232627638,1.3,18.835,0.019844402421941694,11.215060097758132,0.143,0.141,0.414,0.402,0.058,0.059
F_1,F_2,race,sex,0.1,81.544,81.359,0.0016254614155633007,0.0016254614155633007,0.9210334727795582,0.0014660948537053749,0.9976073853158184,0.03474092298315009,0.0016935205938234587,0.019655298126691145,1.003,18.641,0.016622062936318602,53.28864670311141,0.143,0.139,0.414,0.402,0.058,0.057
F_1,F_3,race,capital-gain,0.1,81.544,77.797,0.010672642379839004,0.010672642379839004,2.072678817895864,0.005055886715876532,0.9977220431321376,0.10242905387103575,0.007624105387810717,0.04328073841918501,5.384,22.203,0.05297687512619351,19.110808160563202,0.143,0.183,0.414,0.418,0.058,0.109
F_1,F_4,race,capital-loss,0.1,81.544,79.609,0.12303518068725738,0.12303518068725738,1.7155663913403727,0.0034618728008716723,0.997739801714,0.0711666183914199,0.0053200786070177405,0.03606608397051138,3.654,20.391,0.038628818831769156,5.762172944967915,0.143,0.169,0.414,0.428,0.058,0.088
F_1,F_5,race,hours-per-week,0.1,81.544,80.663,0.01649416404211157,0.01649416404211157,1.21609760405717,0.0016865558534110677,0.9977206666346987,0.034754095291460244,0.002801242181029259,0.02586213610059134,1.904,19.337,0.02376144521258954,10.103128523046063,0.143,0.148,0.414,0.405,0.058,0.067
F_2,F_0,sex,age,0.1,81.544,81.257,0.0027562766463861132,0.0027562766463861132,0.9846268409313276,0.0013413718084812338,0.9975985439741488,0.03692649998964191,0.0019174377332733087,0.021023967622389783,1.167,18.743,0.018716127356340845,13.706585225193294,0.143,0.138,0.414,0.396,0.058,0.057
F_2,F_1,sex,race,0.1,81.544,81.431,0.0015971174733860893,0.0015971174733860893,0.9047359804507056,0.00150967195071274,0.9976107992441253,0.03462638445167743,0.0016338520416937226,0.019295869491807807,0.972,18.569,0.016218026635606096,53.99148416611125,0.143,0.139,0.414,0.402,0.058,0.056
F_2,F_3,sex,capital-gain,0.1,81.544,78.237,0.017035099918804142,0.017035099918804142,1.9974224092216795,0.0044743567506153065,0.9977354305850583,0.0942750943166148,0.00711673286824517,0.04179889288851604,5.149,21.763,0.049691576288070305,5.222909210735059,0.143,0.178,0.414,0.418,0.058,0.103
F_2,F_4,sex,capital-loss,0.1,81.544,79.496,0.1248563661183607,0.1248563661183607,1.6405625410248827,0.002983030829655127,0.9977395503054657,0.06193139006594511,0.00490524743294866,0.03459971699380672,3.399,20.504,0.03604348114119627,6.036251040635253,0.143,0.164,0.414,0.414,0.058,0.085
F_2,F_5,sex,hours-per-week,0.1,81.544,81.001,0.014910422365819298,0.014910422365819298,1.1307610517071676,0.0015414376555334614,0.9977196843567564,0.03897223962782848,0.002487348055396506,0.02411942219832596,1.423,18.999,0.022048784805215802,10.284600065588158,0.143,0.144,0.414,0.403,0.058,0.062
F_3,F_0,capital-gain,age,0.1,81.544,77.869,0.00909175453388178,0.00909175453388178,2.085549397941448,0.004407060803178037,0.9977304808520678,0.09844453354851895,0.007790910523164288,0.04372539014382572,5.374,22.131,0.05342978454472849,4.9046303521897245,0.143,0.178,0.414,0.409,0.058,0.105
F_3,F_1,capital-gain,race,0.1,81.544,78.288,0.010623018596817024,0.010623018596817024,2.0425243049207666,0.004976799921711559,0.9977300566218725,0.10010843281661284,0.007409752692092478,0.0426437866598121,5.343,21.712,0.05169251196306288,4.627240870718754,0.143,0.182,0.414,0.427,0.058,0.105
F_3,F_2,capital-gain,sex,0.1,81.544,77.807,0.010085574731962144,0.010085574731962144,2.054666316850441,0.004384286705158254,0.9977346990348714,0.09668976927624329,0.007556012238610653,0.043073627610217706,5.272,22.193,0.05206580667462076,4.467513885659569,0.143,0.178,0.414,0.408,0.058,0.105
F_3,F_4,capital-gain,capital-loss,0.1,81.544,78.063,0.1297207804288275,0.1297207804288275,2.1429499779582253,0.0058805588481505725,0.99774066410777,0.11080112869548259,0.00809677617865194,0.044590323533195156,5.896,21.937,0.055830907948788505,4.106334116474994,0.143,0.189,0.414,0.437,0.058,0.111
F_3,F_5,capital-gain,hours-per-week,0.1,81.544,78.176,0.024435482876276504,0.024435482876276504,2.0296782334626604,0.004319136235018735,0.9977399985647434,0.09428644285942815,0.007381333429258148,0.042539762284330464,5.21,21.824,0.05096521186794202,4.999566936221604,0.143,0.177,0.414,0.414,0.058,0.103
F_4,F_0,capital-loss,age,0.1,81.544,79.578,0.12071416650129885,0.12071416650129885,1.698196890201056,0.0031009795835526184,0.9977392152667591,0.06630736766908707,0.005254815877441702,0.03580749668858773,3.521,20.422,0.03809209380081261,7.023808516286447,0.143,0.166,0.414,0.419,0.058,0.086
