ID,ID2,Feature,Feature2,swap_proportion,Type,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_0,F_2,age,cp,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_0,F_3,age,trestbps,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.0056866110401783965,0.037559302818028426,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_0,F_4,age,chol,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_0,F_5,age,fbs,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_0,F_6,age,restecg,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_0,F_7,age,thalach,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_0,F_8,age,exang,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.005686611040178395,0.03755930281802632,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_0,F_9,age,oldpeak,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6824612990181452,0.06623931623931623,0.005718152576064695,0.037573337483895346,3.333,23.333,0.03333333333333333,1.0,0.433,0.4,0.818,0.727,0.211,0.211
F_0,F_10,age,ca,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_0,F_11,age,thal,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.005686611040178395,0.03755930281802632,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_1,F_0,sex,age,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_1,F_2,sex,cp,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_1,F_3,sex,trestbps,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_1,F_4,sex,chol,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_1,F_5,sex,fbs,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_1,F_6,sex,restecg,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_1,F_7,sex,thalach,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_1,F_8,sex,exang,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.005686611040178395,0.03755930281802632,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_1,F_9,sex,oldpeak,0.1,NII,80.0,73.333,0,0,0.13971357903482584,0.0,0.653887226662286,0.06787330316742082,0.01179067159291165,0.05400522008395155,6.667,26.667,0.06666666666666667,1.0,0.433,0.433,0.818,0.727,0.211,0.263
F_1,F_10,sex,ca,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_1,F_11,sex,thal,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.005686611040178395,0.03755930281802632,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_2,F_3,cp,trestbps,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.0056866110401783965,0.037559302818028426,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_2,F_4,cp,chol,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_2,F_5,cp,fbs,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_2,F_6,cp,restecg,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_2,F_9,cp,oldpeak,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6824612990181452,0.06623931623931623,0.005718152576064695,0.037573337483895346,3.333,23.333,0.03333333333333333,1.0,0.433,0.4,0.818,0.727,0.211,0.211
F_3,F_4,trestbps,chol,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.0056866110401783965,0.037559302818028426,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_3,F_5,trestbps,fbs,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_3,F_6,trestbps,restecg,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_3,F_9,trestbps,oldpeak,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6824612990181452,0.06623931623931623,0.005718152576064695,0.037573337483895346,3.333,23.333,0.03333333333333333,1.0,0.433,0.4,0.818,0.727,0.211,0.211
F_5,F_4,fbs,chol,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_5,F_9,fbs,oldpeak,0.1,NII,80.0,73.333,0,0,0.13971357903482584,0.0,0.653887226662286,0.06787330316742082,0.01179067159291165,0.05400522008395155,6.667,26.667,0.06666666666666667,1.0,0.433,0.433,0.818,0.727,0.211,0.263
F_6,F_4,restecg,chol,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_6,F_5,restecg,fbs,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_6,F_9,restecg,oldpeak,0.1,NII,80.0,73.333,0,0,0.13971357903482584,0.0,0.653887226662286,0.06787330316742082,0.01179067159291165,0.05400522008395155,6.667,26.667,0.06666666666666667,1.0,0.433,0.433,0.818,0.727,0.211,0.263
F_7,F_2,thalach,cp,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_7,F_3,thalach,trestbps,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_7,F_4,thalach,chol,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_7,F_5,thalach,fbs,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_7,F_6,thalach,restecg,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_7,F_8,thalach,exang,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_7,F_9,thalach,oldpeak,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_7,F_10,thalach,ca,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.005686611040178395,0.03755930281802632,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_7,F_11,thalach,thal,0.1,NII,80.0,73.333,0,0,0.13971357903482584,0.01046477039215262,0.6582805886043832,0.1254901960784314,0.01098823943722488,0.052220747925240826,6.667,26.667,0.06666666666666667,1.0,0.433,0.5,0.818,0.818,0.211,0.316
F_8,F_2,exang,cp,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_8,F_3,exang,trestbps,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.0056866110401783965,0.037559302818028426,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_8,F_4,exang,chol,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_8,F_5,exang,fbs,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.005686611040178395,0.03755930281802632,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_8,F_6,exang,restecg,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.005686611040178395,0.03755930281802632,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_8,F_9,exang,oldpeak,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.0056866110401783965,0.037559302818028426,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_9,F_4,oldpeak,chol,0.1,NII,80.0,73.333,0,0,0.13971357903482584,0.0,0.653887226662286,0.06787330316742082,0.01179067159291165,0.05400522008395155,6.667,26.667,0.06666666666666667,1.0,0.433,0.433,0.818,0.727,0.211,0.263
F_10,F_2,ca,cp,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.005686611040178395,0.03755930281802632,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_10,F_3,ca,trestbps,0.1,NII,80.0,73.333,0,0,0.13971357903482584,0.01046477039215262,0.6582805886043832,0.1254901960784314,0.01098823943722488,0.052220747925240826,6.667,26.667,0.06666666666666667,1.0,0.433,0.5,0.818,0.818,0.211,0.316
F_10,F_4,ca,chol,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_10,F_5,ca,fbs,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_10,F_6,ca,restecg,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_10,F_8,ca,exang,0.1,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_10,F_9,ca,oldpeak,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6824612990181452,0.06623931623931623,0.005718152576064695,0.037573337483895346,3.333,23.333,0.03333333333333333,1.0,0.433,0.4,0.818,0.727,0.211,0.211
F_10,F_11,ca,thal,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.005686611040178395,0.03755930281802632,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_11,F_2,thal,cp,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.005686611040178395,0.03755930281802632,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_11,F_3,thal,trestbps,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.005686611040178395,0.03755930281802632,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_11,F_4,thal,chol,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.005686611040178395,0.03755930281802632,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_11,F_5,thal,fbs,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.005686611040178395,0.03755930281802632,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_11,F_6,thal,restecg,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.005686611040178395,0.03755930281802632,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_11,F_8,thal,exang,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.005686611040178395,0.03755930281802632,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_11,F_9,thal,oldpeak,0.1,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6824612990181452,0.06623931623931623,0.005718152576064695,0.037573337483895346,3.333,23.333,0.03333333333333333,1.0,0.433,0.4,0.818,0.727,0.211,0.211
F_0,F_2,age,cp,0.3,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6824612990181452,0.06623931623931621,0.005718152576064699,0.03757333748389535,3.333,23.333,0.03333333333333333,1.0,0.433,0.4,0.818,0.727,0.211,0.211
F_0,F_3,age,trestbps,0.3,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6829112043336852,0.0651260504201681,0.005686611040178647,0.03755930281802859,3.333,23.333,0.03333333333333333,1.0,0.433,0.467,0.818,0.818,0.211,0.263
F_0,F_4,age,chol,0.3,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_0,F_5,age,fbs,0.3,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_0,F_6,age,restecg,0.3,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_0,F_7,age,thalach,0.3,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_0,F_8,age,exang,0.3,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_0,F_9,age,oldpeak,0.3,NII,80.0,63.333,0,0,0.22090656490199947,0.00523238519607631,0.5538450526732208,0.19537815126050417,0.029267954226001786,0.0851009755407699,16.667,36.667,0.16666666666666666,1.0,0.433,0.467,0.818,0.636,0.211,0.368
F_0,F_10,age,ca,0.3,NII,80.0,73.333,0,0,0.13971357903482584,0.01046477039215262,0.6582805886043832,0.1254901960784314,0.010988239437225298,0.05222074792524102,6.667,26.667,0.06666666666666667,1.0,0.433,0.5,0.818,0.818,0.211,0.316
F_0,F_11,age,thal,0.3,NII,80.0,70.0,0,0,0.17111348938666637,0.00523238519607631,0.6247037037235557,0.13025210084033614,0.017477282633090042,0.0657756694926942,10.0,30.0,0.1,1.0,0.433,0.467,0.818,0.727,0.211,0.316
F_1,F_0,sex,age,0.3,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_1,F_2,sex,cp,0.3,NII,80.0,76.667,0,0,0.098792419159368,0.00523238519607631,0.6824612990181452,0.06623931623931621,0.005718152576064699,0.03757333748389535,3.333,23.333,0.03333333333333333,1.0,0.433,0.4,0.818,0.727,0.211,0.211
F_1,F_3,sex,trestbps,0.3,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_1,F_4,sex,chol,0.3,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_1,F_5,sex,fbs,0.3,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
F_1,F_6,sex,restecg,0.3,NII,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.433,0.433,0.818,0.818,0.211,0.211
