ID,ID2,Feature,Feature2,swap_proportion,Type,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_0,F_1,Age,Sex,0.1,NII,66.038,64.151,0,0,0.098792419159368,0.0029617274694771567,0.6933247426961399,0.03786816269284714,0.0032840236878391117,0.02846943975033837,1.887,35.849,0.018867924528301886,1.0,0.434,0.415,0.586,0.552,0.25,0.25
F_0,F_2,Age,Job,0.1,NII,66.038,64.151,0,0,0.098792419159368,0.0029617274694771567,0.6933247426961399,0.03786816269284714,0.0032840236878391143,0.028469439750338367,1.887,35.849,0.018867924528301886,1.0,0.434,0.415,0.586,0.552,0.25,0.25
F_0,F_3,Age,Housing,0.1,NII,66.038,60.377,0,0,0.17111348938666637,0.0029617274694771567,0.6631597674351812,0.07500000000000001,0.00994001312865336,0.04960554885687945,5.66,39.623,0.05660377358490566,1.0,0.434,0.453,0.586,0.552,0.25,0.333
F_0,F_4,Age,Saving,0.1,NII,66.038,62.264,0,0,0.13971357903482584,0.0,0.6783243294713822,0.03840579710144927,0.006673831260464658,0.0406307807476575,3.774,37.736,0.03773584905660377,1.0,0.434,0.434,0.586,0.552,0.25,0.292
F_0,F_5,Age,Checking,0.1,NII,66.038,62.264,0,0,0.13971357903482584,0.0,0.6783243294713822,0.03840579710144927,0.006673831260464658,0.0406307807476575,3.774,37.736,0.03773584905660377,1.0,0.434,0.434,0.586,0.552,0.25,0.292
F_0,F_6,Age,Credit,0.1,NII,66.038,54.717,0,0,0.24199101739560827,0.0,0.609877265035904,0.11521739130434783,0.02002149378139398,0.07037457660613415,11.321,45.283,0.11320754716981132,1.0,0.434,0.434,0.586,0.483,0.25,0.375
F_0,F_7,Age,Purpose,0.1,NII,66.038,62.264,0,0,0.13971357903482584,0.0,0.6783243294713822,0.03840579710144927,0.006673831260464658,0.0406307807476575,3.774,37.736,0.03773584905660377,1.0,0.434,0.434,0.586,0.552,0.25,0.292
F_1,F_2,Sex,Job,0.1,NII,66.038,66.038,0,0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,33.962,0.0,0.0,0.434,0.434,0.586,0.586,0.25,0.25
F_1,F_3,Sex,Housing,0.1,NII,66.038,62.264,0,0,0.13971357903482584,0.0,0.6783243294713822,0.03840579710144927,0.006673831260464658,0.0406307807476575,3.774,37.736,0.03773584905660377,1.0,0.434,0.434,0.586,0.552,0.25,0.292
F_1,F_4,Sex,Saving,0.1,NII,66.038,58.491,0,0,0.197584838318736,0.0,0.6460414157312482,0.07681159420289854,0.013347662520929317,0.057460601183144874,7.547,41.509,0.07547169811320754,1.0,0.434,0.434,0.586,0.517,0.25,0.333
F_1,F_5,Sex,Checking,0.1,NII,66.038,62.264,0,0,0.13971357903482584,0.0059234549389543135,0.6796910429870223,0.07333333333333326,0.006408928033580919,0.03987385558093182,3.774,37.736,0.03773584905660377,1.0,0.434,0.472,0.586,0.586,0.25,0.333
F_1,F_6,Sex,Credit,0.1,NII,66.038,62.264,0,0,0.13971357903482584,0.0059234549389543135,0.6796910429870223,0.07333333333333326,0.006408928033580919,0.03987385558093182,3.774,37.736,0.03773584905660377,1.0,0.434,0.472,0.586,0.586,0.25,0.333
F_1,F_7,Sex,Purpose,0.1,NII,66.038,62.264,0,0,0.13971357903482584,0.0059234549389543135,0.6796910429870223,0.0733333333333333,0.006408928033580914,0.03987385558093182,3.774,37.736,0.03773584905660377,1.0,0.434,0.472,0.586,0.586,0.25,0.333
F_2,F_3,Job,Housing,0.1,NII,66.038,64.151,0,0,0.098792419159368,0.0029617274694771567,0.6933247426961399,0.03786816269284714,0.0032840236878391117,0.02846943975033837,1.887,35.849,0.018867924528301886,1.0,0.434,0.415,0.586,0.552,0.25,0.25
F_2,F_4,Job,Saving,0.1,NII,66.038,60.377,0,0,0.17111348938666637,0.0029617274694771567,0.6626744176510372,0.07573632538569422,0.009957854948303774,0.04961654999434428,5.66,39.623,0.05660377358490566,1.0,0.434,0.415,0.586,0.517,0.25,0.292
F_2,F_5,Job,Checking,0.1,NII,66.038,64.151,0,0,0.098792419159368,0.0029617274694771567,0.6933247426961399,0.03786816269284714,0.0032840236878391117,0.02846943975033837,1.887,35.849,0.018867924528301886,1.0,0.434,0.415,0.586,0.552,0.25,0.25
F_2,F_6,Job,Credit,0.1,NII,66.038,60.377,0,0,0.17111348938666637,0.0029617274694771567,0.6631597674351812,0.07500000000000001,0.009940013128653362,0.049605548856877575,5.66,39.623,0.05660377358490566,1.0,0.434,0.453,0.586,0.552,0.25,0.333
F_2,F_7,Job,Purpose,0.1,NII,66.038,62.264,0,0,0.13971357903482584,0.0059234549389543135,0.6796910429870223,0.0733333333333333,0.006408928033580914,0.03987385558093182,3.774,37.736,0.03773584905660377,1.0,0.434,0.472,0.586,0.586,0.25,0.333
F_3,F_4,Housing,Saving,0.1,NII,66.038,56.604,0,0,0.22090656490199947,0.0029617274694771567,0.6292017903320151,0.11249999999999999,0.016613844389118018,0.06411912476039774,9.434,43.396,0.09433962264150944,1.0,0.434,0.453,0.586,0.517,0.25,0.375
F_3,F_5,Housing,Checking,0.1,NII,66.038,64.151,0,0,0.098792419159368,0.0029617274694771567,0.6934652232531721,0.03750000000000002,0.003266181868188698,0.028463288031680675,1.887,35.849,0.018867924528301886,1.0,0.434,0.453,0.586,0.586,0.25,0.292
F_3,F_6,Housing,Credit,0.1,NII,66.038,66.038,0,0,0.0,0.0,0.7071067811865475,0.0,0.0,0.0,0.0,33.962,0.0,0.0,0.434,0.434,0.586,0.586,0.25,0.25
F_3,F_7,Housing,Purpose,0.1,NII,66.038,64.151,0,0,0.098792419159368,0.0029617274694771567,0.6934652232531721,0.03750000000000002,0.003266181868188698,0.028463288031680675,1.887,35.849,0.018867924528301886,1.0,0.434,0.453,0.586,0.586,0.25,0.292
F_4,F_5,Saving,Checking,0.1,NII,66.038,60.377,0,0,0.17111348938666637,0.0029617274694771567,0.6631597674351812,0.075,0.009940013128653544,0.04960554885687865,5.66,39.623,0.05660377358490566,1.0,0.434,0.453,0.586,0.552,0.25,0.333
F_4,F_6,Saving,Credit,0.1,NII,66.038,60.377,0,0,0.17111348938666637,0.0029617274694771567,0.6631597674351812,0.07500000000000001,0.009940013128653544,0.04960554885687866,5.66,39.623,0.05660377358490566,1.0,0.434,0.453,0.586,0.552,0.25,0.333
