ID,Feature,Category,swap_proportion,Acc,Acc_after,distortion_multiple,distortion_feature,Distortion_hellinger,Distortion_wasserstein,cramers_v_distortion,total_variation_distortion,Distortion_kl,Distortion_js,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_0,age,>=38,0.1,73.501,73.078,0.00662468262202877,0.00010237510237510215,1.0250011476504084e-31,7.169804999136108e-67,0.9899330310509533,0.0468899527594665,inf,0.3812018538151049,0.7683455976519717,0.0026554478757520343,0.689628194085235,0.041599491152426095,0.002289046974031757,0.023088250378551278,1.695,26.922,0.233,0.22,0.454,0.429,0.115,0.108
F_0,age,<=37,0.1,88.942,88.609,0.00662468262202877,0.00010237510237510215,1.0250011476504084e-31,7.169804999136108e-67,0.9899330310509533,0.0468899527594665,inf,0.3812018538151049,0.5585218225273357,0.0009315638853342146,0.6819999635727025,0.03314321775808195,0.0012106926769720832,0.017114414837327185,0.831,11.391,0.063,0.068,0.33,0.335,0.019,0.024
F_1,race,0,0.1,88.034,87.892,0.02000204729245573,0.10001023646227863,3.0879545682284553,0.011103218867300839,0.5636831798158791,0.0997011356844115,0.018911753268850494,0.0699329844152931,0.15048337057355377,0.00047837284562992456,0.7034897639187263,0.01853822716111212,0.00040363672750547364,0.00883836895078474,0.142,12.108,0.075,0.076,0.342,0.342,0.031,0.032
F_1,race,1,0.1,80.418,80.12,0.02000204729245573,0.10001023646227863,3.0879545682284553,0.011103218867300839,0.5636831798158791,0.0997011356844115,0.018911753268850494,0.0699329844152931,0.6645256072707646,0.0008362698129954343,0.694365440950476,0.018314122669154366,0.0009827072836790008,0.01526616896848671,0.921,19.88,0.155,0.155,0.421,0.415,0.064,0.066
F_2,sex,0,0.1,90.339,90.308,0.02000204729245573,0.10001023646227863,3.0879545682284553,0.005672121939446016,0.6161497984834523,0.10152671755726814,0.01843526039617992,0.06826651869354193,0.4363703214027986,0.0010955120706952004,0.6844578638306155,0.04460270503907354,0.0011575235219659793,0.016532993866569257,0.59,9.692,0.049,0.052,0.293,0.304,0.018,0.019
F_2,sex,1,0.1,77.176,76.84,0.02000204729245573,0.10001023646227863,3.0879545682284553,0.005672121939446016,0.6161497984834523,0.10152671755726814,0.01843526039617992,0.06826651869354193,0.7234749049787241,0.0018953856712952788,0.6921706850638194,0.032464775096446005,0.0014801013056656128,0.018576578417343025,1.252,23.16,0.19,0.181,0.437,0.416,0.084,0.08
F_3,capital-gain,<=3471,0.1,80.563,80.563,0.0004553138725846859,0.00010237510237510165,13.294037393426965,0.036100417225393235,0.9897165808948473,0.5123813683022557,inf,0.22670020062617213,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,19.437,0.101,0.101,0.271,0.271,0.058,0.058
F_3,capital-gain,>=3674,0.1,94.828,94.636,0.0004553138725846859,0.00010237510237510165,13.294037393426965,0.036100417225393235,0.9897165808948473,0.5123813683022557,inf,0.22670020062617213,0.098792419159368,0.00030071179287794966,0.7049250571386049,0.006180067076277763,0.00034114854163656133,0.009218878040774366,0.192,5.364,0.808,0.807,0.978,0.976,0.165,0.165
F_4,capital-loss,<=1876,0.1,81.117,81.082,0.0004864022652435808,0.0001023751023751024,13.649397237514512,0.03814229602773449,0.9874826880499258,0.7250300150551723,inf,0.2284968041658977,0.17111348938666637,5.502625235415554e-05,0.7065452601402704,0.0009969299155775672,6.135974371325681e-05,0.003866730741396149,0.035,18.918,0.127,0.126,0.361,0.359,0.059,0.059
F_4,capital-loss,>=1887,0.1,92.032,90.438,0.0004864022652435808,0.0001023751023751024,13.649397237514512,0.03814229602773449,0.9874826880499258,0.7250300150551723,inf,0.2284968041658977,0.24199101739560827,0.002501538739159987,0.6843471799412497,0.05106436947463225,0.004207707538980663,0.03230769270173384,2.39,9.562,0.749,0.733,0.947,0.926,0.159,0.159
