ID,Feature,Category,swap_proportion,Acc,Acc_after,Distortion_hellinger,Distortion_wasserstein,cramers_v_distortion,total_variation_distortion,Distortion_kl,Distortion_js,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_0,age,>=38,0.1,74.979,75.029,1.2413380310629348e-31,1.0324729988544142e-66,0.9900051448674997,0.04615123662588178,inf,0.38234160497776193,0.7545441298868047,0.002302421488375406,0.6935411785679235,0.036582515821646976,0.0017777778967367143,0.020107072804171424,1.277,24.971,0.221,0.212,0.458,0.446,0.092,0.084
F_0,age,<=37,0.1,89.061,87.961,1.2413380310629348e-31,1.0324729988544142e-66,0.9900051448674997,0.04615123662588178,inf,0.38234160497776193,0.8856536849447867,0.0017945115179370645,0.6621112117270791,0.06230303158297483,0.002398952341168769,0.023956801771232675,1.424,12.039,0.058,0.069,0.311,0.31,0.018,0.031
F_1,race,0,0.1,87.326,87.215,3.4534981143568393,0.011183789502709993,0.5665567859764179,0.10046100653093676,0.018860702359733833,0.06985204590771993,0.2807772373286144,0.0009077625950922393,0.6951832885176029,0.029545593499575584,0.0008616767578773305,0.014233610462737495,0.445,12.785,0.072,0.073,0.326,0.326,0.025,0.026
F_1,race,1,0.1,81.204,81.108,3.4534981143568393,0.011183789502709993,0.5665567859764179,0.10046100653093676,0.018860702359733833,0.06985204590771993,0.82527068657627,0.0010630706665832037,0.6939646477694399,0.020255661170655227,0.001203892462897777,0.016943857056002015,0.922,18.892,0.15,0.15,0.426,0.424,0.054,0.055
F_2,sex,0,0.1,90.9,90.776,3.4534981143568393,0.005707589125520947,0.6160951295095862,0.10172182195628969,0.01844189601073884,0.06828299800843132,0.5197782678041076,0.001420710993868349,0.6831195039158329,0.05101103057060405,0.0013203152790892609,0.017614553040451272,0.671,9.224,0.052,0.056,0.328,0.343,0.016,0.02
F_2,sex,1,0.1,77.787,77.775,3.4534981143568393,0.005707589125520947,0.6160951295095862,0.10172182195628969,0.01844189601073884,0.06828299800843132,0.7637958343745681,0.0018575773438417194,0.6946119540147513,0.0318728921845473,0.001376063183854471,0.01758002871011119,1.014,22.225,0.181,0.174,0.433,0.421,0.07,0.065
F_3,capital-gain,<=3471,0.1,81.229,77.899,15.079691635733681,0.0371792904018369,0.9894172312597053,0.5125973622873359,inf,0.2296546785814138,2.20471150806748,0.0057914713788246724,0.6085920310177058,0.11458585769124714,0.007275486675847421,0.042260386309880174,5.277,22.101,0.095,0.141,0.274,0.306,0.049,0.099
F_3,capital-gain,>=3674,0.1,96.333,89.986,15.079691635733681,0.0371792904018369,0.9894172312597053,0.5125973622873359,inf,0.2296546785814138,0.658896762046759,0.009956599357465061,0.6299696229635351,0.18159680258496982,0.010506272895640805,0.051132114698296746,6.347,10.014,0.843,0.78,0.977,0.902,0.11,0.11
F_4,capital-loss,<=1876,0.1,81.774,79.34,15.237598471991362,0.03802872937411086,0.9863232749030286,0.7253621879151005,inf,0.22808828429813066,1.9593583733186537,0.004039254709746094,0.6441524964233789,0.08172597072307744,0.005681522397384505,0.03728995065053728,3.95,20.66,0.122,0.154,0.369,0.386,0.049,0.085
F_4,capital-loss,>=1887,0.1,93.787,87.87,15.237598471991362,0.03802872937411086,0.9863232749030286,0.7253621879151005,inf,0.22808828429813066,0.45167751459039895,0.00550499882537467,0.6486687816613314,0.1136863513150008,0.010657118751421725,0.051563868924755306,6.509,12.13,0.71,0.669,0.958,0.887,0.111,0.141
