Fold,swap_proportion,Feature,Shap,Importance
0,0.1,sex,2.927213320993184,0.10040256975593206
0,0.1,age,7.060802760923544,0.6415861197815107
0,0.1,race,2.331853669304218,0.09240673794472197
0,0.1,priors_count,2.916313358989972,0.08734885468014494
0,0.1,c_charge_degree,3.2594795180311613,0.07825571783769035
0,0.3,sex,8.475472749280096,0.10040256975593206
0,0.3,age,19.514645612451343,0.6415861197815107
0,0.3,race,6.527271558351809,0.09240673794472197
0,0.3,priors_count,9.006305427161585,0.08734885468014494
0,0.3,c_charge_degree,9.791961602664088,0.07825571783769035
0,0.5,sex,13.601780311689586,0.10040256975593206
0,0.5,age,33.50783556815801,0.6415861197815107
0,0.5,race,12.029796243506027,0.09240673794472197
0,0.5,priors_count,16.615741399843344,0.08734885468014494
0,0.5,c_charge_degree,16.399053747235605,0.07825571783769035
0,0.7,sex,18.96664660937595,0.10040256975593206
0,0.7,age,46.79805233587721,0.6415861197815107
0,0.7,race,17.171455670468152,0.09240673794472197
0,0.7,priors_count,23.762864546452388,0.08734885468014494
0,0.7,c_charge_degree,22.608184910350722,0.07825571783769035
1,0.1,sex,2.970466851802273,0.08637455154539893
1,0.1,age,7.112349073548145,0.6347176425522899
1,0.1,race,1.8359325279065881,0.11573876592514062
1,0.1,priors_count,3.8624666013169295,0.08285350922890214
1,0.1,c_charge_degree,3.4425952939785223,0.08031553074826846
1,0.3,sex,8.525142645145293,0.08637455154539893
1,0.3,age,20.80135652379512,0.6347176425522899
1,0.3,race,5.538955512395554,0.11573876592514062
1,0.3,priors_count,10.753474001878107,0.08285350922890214
1,0.3,c_charge_degree,10.218717766275436,0.08031553074826846
1,0.5,sex,14.0602099056101,0.08637455154539893
1,0.5,age,33.924134944971634,0.6347176425522899
1,0.5,race,10.02993695555014,0.11573876592514062
1,0.5,priors_count,16.975613691936214,0.08285350922890214
1,0.5,c_charge_degree,16.867795322246238,0.08031553074826846
1,0.7,sex,19.13679732725025,0.08637455154539893
1,0.7,age,48.30021035490539,0.6347176425522899
1,0.7,race,14.455980897384208,0.11573876592514062
1,0.7,priors_count,23.672214260542596,0.08285350922890214
1,0.7,c_charge_degree,22.868375402847704,0.08031553074826846
2,0.1,sex,2.818495104068034,0.09217978003850234
2,0.1,age,6.816592666243185,0.6321127266232393
2,0.1,race,2.1916813927271543,0.11781445522933641
2,0.1,priors_count,3.3272910036615344,0.08644036974925409
2,0.1,c_charge_degree,2.8106635560067352,0.07145266835966785
2,0.3,sex,8.33126271388493,0.09217978003850234
2,0.3,age,21.22212061947505,0.6321127266232393
2,0.3,race,6.913589718768835,0.11781445522933641
2,0.3,priors_count,10.084336458727842,0.08644036974925409
2,0.3,c_charge_degree,9.427789660898085,0.07145266835966785
2,0.5,sex,13.986133893091116,0.09217978003850234
2,0.5,age,35.84737763868284,0.6321127266232393
2,0.5,race,11.519659063953043,0.11781445522933641
2,0.5,priors_count,16.288830281807936,0.08644036974925409
2,0.5,c_charge_degree,15.184236613106862,0.07145266835966785
2,0.7,sex,19.161540962565507,0.09217978003850234
2,0.7,age,47.69697589297024,0.6321127266232393
2,0.7,race,16.024160616462275,0.11781445522933641
2,0.7,priors_count,23.317245688155005,0.08644036974925409
2,0.7,c_charge_degree,21.600945437678533,0.07145266835966785
3,0.1,sex,2.1165890111458006,0.08012034596354818
3,0.1,age,7.216911056982133,0.6506834547081939
3,0.1,race,1.9777135919062783,0.09517818385236815
3,0.1,priors_count,3.9317287955367592,0.0788150601851692
3,0.1,c_charge_degree,3.318907309972101,0.09520295529072065
3,0.3,sex,6.527804277822193,0.08012034596354818
3,0.3,age,22.02023454217533,0.6506834547081939
3,0.3,race,5.762486601082121,0.09517818385236815
3,0.3,priors_count,9.883489636292332,0.0788150601851692
3,0.3,c_charge_degree,9.313162676375974,0.09520295529072065
3,0.5,sex,12.020165009988906,0.08012034596354818
3,0.5,age,35.992071752825474,0.6506834547081939
3,0.5,race,10.062627916982995,0.09517818385236815
3,0.5,priors_count,16.38685875815223,0.0788150601851692
3,0.5,c_charge_degree,15.171059020262147,0.09520295529072065
3,0.7,sex,17.870055019566905,0.08012034596354818
3,0.7,age,49.88111358079079,0.6506834547081939
3,0.7,race,14.234237251682003,0.09517818385236815
3,0.7,priors_count,22.53459112041992,0.0788150601851692
3,0.7,c_charge_degree,21.043129255341125,0.09520295529072065
4,0.1,sex,3.1885183256359855,0.10671914848700911
4,0.1,age,7.513954880026508,0.6169475411372888
4,0.1,race,2.3021430042668665,0.09553209033526092
4,0.1,priors_count,3.150326275817755,0.09646658861754832
4,0.1,c_charge_degree,3.455001499901569,0.08433463142289283
4,0.3,sex,8.476793815184827,0.10671914848700911
4,0.3,age,21.971079006892133,0.6169475411372888
4,0.3,race,6.8387741602325685,0.09553209033526092
4,0.3,priors_count,10.645696653604034,0.09646658861754832
4,0.3,c_charge_degree,9.427875270674683,0.08433463142289283
4,0.5,sex,14.564579240060404,0.10671914848700911
4,0.5,age,35.28744175498967,0.6169475411372888
4,0.5,race,11.500817695312971,0.09553209033526092
4,0.5,priors_count,17.495755481340673,0.09646658861754832
