"Swap 
 Percentage",Measurement,Feature,sex,age,health,Pstatus,nursery,Medu,Fjob,schoolsup,absences,activities,higher,traveltime,paid,guardian,Walc,freetime,famsup,romantic,studytime,goout,reason,famrel,internet,AVG
50%,Hellinger distance,sex,-,0.22,0.28,0.23,0.18,0.34,0.19,0.17,0.3,0.1,0.31,0.19,0.16,0.09,0.28,0.19,0.2,0.14,0.23,0.21,0.19,0.2,0.13,4.54
50%,Wasserstein distance,sex,-,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.02,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.142
50%,Total variation distance,sex,-,0.23,0.32,0.21,0.17,0.45,0.18,0.15,0.41,0.08,0.62,0.19,0.15,0.06,0.31,0.17,0.17,0.11,0.27,0.22,0.16,0.19,0.11,4.943
50%,Jensen-Shannon divergence,sex,-,0.07,0.08,0.07,0.05,0.1,0.06,0.05,0.09,0.03,0.09,0.06,0.05,0.03,0.08,0.06,0.06,0.04,0.07,0.06,0.06,0.06,0.04,1.32
50%,Hellinger distance,age,-,-,0.35,0.25,0.23,0.39,0.26,0.28,0.37,0.24,0.38,0.23,0.23,0.2,0.31,0.25,0.28,0.21,0.3,0.26,0.27,0.26,0.22,5.778
50%,Wasserstein distance,age,-,-,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.0,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.231
50%,Total variation distance,age,-,-,0.4,0.24,0.19,0.53,0.23,0.34,0.44,0.24,0.73,0.18,0.22,0.15,0.38,0.23,0.29,0.22,0.32,0.26,0.28,0.27,0.22,6.361
50%,Jensen-Shannon divergence,age,-,-,0.1,0.07,0.06,0.12,0.07,0.08,0.09,0.07,0.1,0.06,0.07,0.06,0.09,0.07,0.08,0.06,0.09,0.08,0.08,0.08,0.06,1.632
50%,Hellinger distance,health,-,-,-,0.33,0.32,0.48,0.32,0.33,0.41,0.26,0.34,0.35,0.31,0.27,0.46,0.35,0.37,0.31,0.41,0.34,0.36,0.37,0.28,6.988
50%,Wasserstein distance,health,-,-,-,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.216
50%,Total variation distance,health,-,-,-,0.3,0.27,0.56,0.25,0.3,0.49,0.18,0.66,0.3,0.24,0.18,0.48,0.27,0.32,0.23,0.42,0.28,0.29,0.34,0.21,6.57
50%,Jensen-Shannon divergence,health,-,-,-,0.1,0.1,0.14,0.09,0.1,0.12,0.08,0.09,0.1,0.09,0.08,0.14,0.1,0.11,0.09,0.12,0.1,0.11,0.11,0.08,2.048
50%,Hellinger distance,Pstatus,-,-,-,-,0.24,0.38,0.26,0.27,0.33,0.18,0.31,0.26,0.23,0.18,0.33,0.26,0.26,0.18,0.31,0.28,0.25,0.26,0.19,4.946
50%,Wasserstein distance,Pstatus,-,-,-,-,0.01,0.01,0.01,0.01,0.02,0.0,0.03,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2
50%,Total variation distance,Pstatus,-,-,-,-,0.2,0.57,0.23,0.27,0.53,0.12,0.68,0.32,0.22,0.09,0.43,0.29,0.31,0.11,0.4,0.3,0.2,0.24,0.12,5.595
50%,Jensen-Shannon divergence,Pstatus,-,-,-,-,0.07,0.12,0.07,0.07,0.09,0.04,0.09,0.08,0.06,0.04,0.1,0.08,0.08,0.04,0.09,0.08,0.07,0.07,0.05,1.412
50%,Hellinger distance,nursery,-,-,-,-,-,0.4,0.24,0.24,0.3,0.15,0.31,0.22,0.22,0.15,0.29,0.26,0.26,0.18,0.3,0.25,0.23,0.26,0.19,4.444
50%,Wasserstein distance,nursery,-,-,-,-,-,0.01,0.01,0.01,0.01,0.0,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.155
50%,Total variation distance,nursery,-,-,-,-,-,0.52,0.23,0.24,0.47,0.09,0.59,0.18,0.18,0.09,0.33,0.21,0.26,0.13,0.37,0.22,0.19,0.28,0.16,4.739
50%,Jensen-Shannon divergence,nursery,-,-,-,-,-,0.12,0.07,0.07,0.09,0.04,0.09,0.06,0.06,0.04,0.08,0.07,0.07,0.05,0.09,0.07,0.06,0.08,0.05,1.267
50%,Hellinger distance,Medu,-,-,-,-,-,-,0.38,0.38,0.51,0.34,0.48,0.4,0.41,0.33,0.47,0.41,0.42,0.34,0.49,0.45,0.42,0.45,0.34,7.028
50%,Wasserstein distance,Medu,-,-,-,-,-,-,0.01,0.01,0.02,0.01,0.04,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26
50%,Total variation distance,Medu,-,-,-,-,-,-,0.34,0.33,0.64,0.28,0.82,0.35,0.36,0.27,0.47,0.37,0.38,0.28,0.51,0.43,0.37,0.42,0.28,6.901
