Feature,"Swap 
 Percentage",Metric,CDI,NDI,NII,Impact_Sum,AVERAGE,NDI2,NII2
age,10%,"Hellinger
 distance(+)",0.04193215686577658,0,0.9874747823236715,1.029406939189448,0.3431356463964827
age,10%,"Wasserstein
 distance(+)",0.0014894261153256315,0,0.9874747823236715,0.0014894261153256315,0.0076177972728555
age,10%,"Contingency
 coefficient(-)",0.516741480624299,0,11.309410239338014,0.516741480624299,3.942050573320771
age,10%,"Total variation
 distance(+)",0.025495189033038386,0,0.3739686764966263,0.025495189033038386,0.13315462184322155
age,10%,"Jensen–Shannon
 divergence(+)",0.011196292721417095,0,0.23097218785218424,0.011196292721417095,0.08072282685786711
age,30%,"Hellinger
 distance(+)",0.10150601584163152,0,2.1083810102141665,2.209887026055798,0.736629008685266
age,30%,"Wasserstein
 distance(+)",0.003392554691004216,0,2.1083810102141665,0.003392554691004216,0.02698558366220741
age,30%,"Contingency
 coefficient(-)",0.4898399065007439,0,11.00604021904289,0.4898399065007439,3.831960041847878
age,30%,"Total variation
 distance(+)",0.10153248559252526,0,1.2835554027368166,0.10153248559252526,0.46169596277644726
age,30%,"Jensen–Shannon
 divergence(+)",0.0342652606487978,0,0.5522448015362151,0.0342652606487978,0.19550335406167096
age,50%,"Hellinger
 distance(+)",0.14636311348670825,0,2.8210539583924596,2.9674170718791677,0.9891390239597225
age,50%,"Wasserstein
 distance(+)",0.00863755943721392,0,2.8210539583924596,0.00863755943721392,0.038867569944997335
age,50%,"Contingency
 coefficient(-)",0.448480496417012,0,10.805188511935325,0.448480496417012,3.7512230027841125
age,50%,"Total variation
 distance(+)",0.11497560440755936,0,1.930442031852553,0.11497560440755936,0.6818058787533707
age,50%,"Jensen–Shannon
 divergence(+)",0.042098690209756574,0,0.7506618413951056,0.042098690209756574,0.26425351053495405
age,70%,"Hellinger
 distance(+)",0.1766411156210258,0,3.39768003547096,3.574321151091986,1.1914403836973286
age,70%,"Wasserstein
 distance(+)",0.009562638396312531,0,3.39768003547096,0.009562638396312531,0.04915525655914534
age,70%,"Contingency
 coefficient(-)",0.4329554343177442,0,10.834384620295321,0.4329554343177442,3.755780018204355
age,70%,"Total variation
 distance(+)",0.14837096462664787,0,2.5027673726915234,0.14837096462664787,0.8837127791060571
age,70%,"Jensen–Shannon
 divergence(+)",0.05342716877142013,0,0.9005538748390889,0.05342716877142013,0.317993681203503
freetime,10%,"Hellinger
 distance(+)",0.05144226757345689,0,0.3718925577251368,0.4233348252985937,0.14111160843286455
freetime,10%,"Wasserstein
 distance(+)",0.00181042942704548,0,0.3718925577251368,0.00181042942704548,0.003883680106616943
freetime,10%,"Contingency
 coefficient(-)",0.6985083936668134,0,4.874897021037422,0.6985083936668134,1.8578018049014118
freetime,10%,"Total variation
 distance(+)",0.023311285439166794,0,0.16530106731648778,0.023311285439166794,0.06287078425188486
freetime,10%,"Jensen–Shannon
 divergence(+)",0.015396808415551026,0,0.10806639490312152,0.015396808415551026,0.04115440110622418
freetime,30%,"Hellinger
 distance(+)",0.11505818759921187,0,0.6987644279513292,0.813822615550541,0.2712742051835137
freetime,30%,"Wasserstein
 distance(+)",0.00453454319912278,0,0.6987644279513292,0.00453454319912278,0.007386022481686345
freetime,30%,"Contingency
 coefficient(-)",0.6811152808322908,0,4.765843672519434,0.6811152808322908,1.815652984450575
freetime,30%,"Total variation
 distance(+)",0.06455471357622686,0,0.3482032695743012,0.06455471357622686,0.13758599438350935
freetime,30%,"Jensen–Shannon
 divergence(+)",0.03372279048173528,0,0.20144616187298686,0.03372279048173528,0.07838965078490738
