Features,Swap,Swap_ratio,Combined_scores,Scores,Std,Protected,NonProtected
sex,0.1,10%,"Combined
 scores(+)",2.0433228685197685e-07,1.0216614342598844e-07,1.0,0.0
sex,0.3,30%,"Combined
 scores(+)",-5.555919711691092e-06,2.777959855845546e-06,1.0,0.0
sex,0.5,50%,"Combined
 scores(+)",-0.00017389919866599003,8.694959933299501e-05,1.0,0.0
sex,0.7,70%,"Combined
 scores(+)",-0.00024451959373429774,0.00012225979686714887,1.0,0.0
age,0.1,10%,"Combined
 scores(+)",-4.212015403251192e-05,2.106007701625596e-05,>=0.4285714285714284,<=0.2857142857142856
age,0.3,30%,"Combined
 scores(+)",-7.792429416494752e-05,3.896214708247376e-05,>=0.4285714285714284,<=0.2857142857142856
age,0.5,50%,"Combined
 scores(+)",-0.000495338128069833,0.00024766906403491653,>=0.4285714285714284,<=0.2857142857142856
age,0.7,70%,"Combined
 scores(+)",-0.002005154504025099,0.0010025772520125494,>=0.4285714285714284,<=0.2857142857142856
famsup,0.1,10%,"Combined
 scores(+)",-1.3443971109316887e-05,6.721985554658444e-06,0.0,1.0
famsup,0.3,30%,"Combined
 scores(+)",-0.00010801886422890251,5.4009432114451254e-05,0.0,1.0
famsup,0.5,50%,"Combined
 scores(+)",-0.00026209967122346495,0.00013104983561173248,0.0,1.0
famsup,0.7,70%,"Combined
 scores(+)",-0.00016779337905327478,8.389668952663739e-05,0.0,1.0
paid,0.1,10%,"Combined
 scores(+)",0.000210969221274016,0.00010548461063700798,0.0,1.0
paid,0.3,30%,"Combined
 scores(+)",0.00020432273639348124,0.00010216136819674063,0.0,1.0
paid,0.5,50%,"Combined
 scores(+)",8.326353128006739e-05,4.1631765640033695e-05,0.0,1.0
paid,0.7,70%,"Combined
 scores(+)",0.0008832096789533504,0.0004416048394766752,0.0,1.0
activities,0.1,10%,"Combined
 scores(+)",1.970189106510343e-07,9.850945532551715e-08,1.0,0.0
activities,0.3,30%,"Combined
 scores(+)",1.2960543251213044e-06,6.480271625606522e-07,1.0,0.0
activities,0.5,50%,"Combined
 scores(+)",-9.596171474238792e-06,4.798085737119395e-06,1.0,0.0
activities,0.7,70%,"Combined
 scores(+)",-6.405426740277448e-05,3.202713370138724e-05,1.0,0.0
nursery,0.1,10%,"Combined
 scores(+)",-2.1250052026995055e-07,1.0625026013497527e-07,0.0,1.0
nursery,0.3,30%,"Combined
 scores(+)",-1.1742606621273769e-05,5.8713033106368844e-06,0.0,1.0
nursery,0.5,50%,"Combined
 scores(+)",-2.111993589674608e-05,1.055996794837304e-05,0.0,1.0
nursery,0.7,70%,"Combined
 scores(+)",4.002787671899955e-05,2.0013938359499776e-05,0.0,1.0
higher,0.1,10%,"Combined
 scores(+)",-0.00019192134738412215,9.596067369206106e-05,0.0,1.0
higher,0.3,30%,"Combined
 scores(+)",-0.007314044607126896,0.003657022303563448,0.0,1.0
higher,0.5,50%,"Combined
 scores(+)",-0.022758411348292356,0.011379205674146176,0.0,1.0
higher,0.7,70%,"Combined
 scores(+)",-0.3244079292055926,0.1622039646027963,0.0,1.0
internet,0.1,10%,"Combined
 scores(+)",7.300634343779513e-07,3.6503171718897566e-07,1.0,0.0
internet,0.3,30%,"Combined
 scores(+)",6.41683051326347e-07,3.208415256631735e-07,1.0,0.0
internet,0.5,50%,"Combined
 scores(+)",1.6396558692464183e-05,8.198279346232091e-06,1.0,0.0
internet,0.7,70%,"Combined
 scores(+)",8.134991356266196e-05,4.067495678133098e-05,1.0,0.0
romantic,0.1,10%,"Combined
 scores(+)",2.9179109743678567e-07,1.458955487183928e-07,1.0,0.0
romantic,0.3,30%,"Combined
 scores(+)",1.609048135707856e-05,8.04524067853928e-06,1.0,0.0
romantic,0.5,50%,"Combined
 scores(+)",3.110168758201908e-05,1.555084379100954e-05,1.0,0.0
romantic,0.7,70%,"Combined
 scores(+)",6.972038881517544e-05,3.486019440758772e-05,1.0,0.0
famrel,0.1,10%,"Combined
 scores(+)",-4.1149961967604526e-08,2.0574980983802263e-08,<=0.75,1.0
famrel,0.3,30%,"Combined
 scores(+)",-6.287674088060164e-07,3.143837044030082e-07,<=0.75,1.0
famrel,0.5,50%,"Combined
 scores(+)",9.822573639534503e-07,4.911286819767251e-07,<=0.75,1.0
famrel,0.7,70%,"Combined
 scores(+)",0.0011551104188765897,0.0005775552094382948,<=0.75,1.0
freetime,0.1,10%,"Combined
 scores(+)",4.939697330200346e-07,2.4698486651001725e-07,>=0.75,<=0.5
freetime,0.3,30%,"Combined
 scores(+)",4.016863971240298e-06,2.008431985620149e-06,>=0.75,<=0.5
freetime,0.5,50%,"Combined
 scores(+)",2.8379684085739716e-05,1.4189842042869858e-05,>=0.75,<=0.5
freetime,0.7,70%,"Combined
 scores(+)",-1.45516311153026e-05,7.2758155576513e-06,>=0.75,<=0.5
goout,0.1,10%,"Combined
 scores(+)",4.527944307597929e-07,2.2639721537989645e-07,>=0.75,<=0.5
goout,0.3,30%,"Combined
 scores(+)",1.308152990175854e-06,6.54076495087927e-07,>=0.75,<=0.5
goout,0.5,50%,"Combined
 scores(+)",4.8069258572452285e-06,2.4034629286226143e-06,>=0.75,<=0.5
goout,0.7,70%,"Combined
 scores(+)",-2.88660027465581e-05,1.443300137327905e-05,>=0.75,<=0.5
Pstatus,0.1,10%,"Combined
 scores(+)",-1.7669279720878134e-06,8.834639860439067e-07,0.0,1.0
Pstatus,0.3,30%,"Combined
 scores(+)",-0.00010787858981919263,5.3939294909596316e-05,0.0,1.0
Pstatus,0.5,50%,"Combined
 scores(+)",-8.207902955745925e-06,4.103951477872962e-06,0.0,1.0
Pstatus,0.7,70%,"Combined
 scores(+)",-0.0014448310983433354,0.0007224155491716677,0.0,1.0
Walc,0.1,10%,"Combined
 scores(+)",1.2361695942271702e-06,6.180847971135851e-07,>=0.5,<=0.25
Walc,0.3,30%,"Combined
 scores(+)",7.904025403187995e-05,3.9520127015939976e-05,>=0.5,<=0.25
Walc,0.5,50%,"Combined
 scores(+)",2.6245435743536675e-06,1.3122717871768338e-06,>=0.5,<=0.25
Walc,0.7,70%,"Combined
 scores(+)",0.002189038027160482,0.001094519013580241,>=0.5,<=0.25
health,0.1,10%,"Combined
 scores(+)",-4.257749763420718e-06,2.128874881710359e-06,1.0,<=0.75
health,0.3,30%,"Combined
 scores(+)",3.0056600298320284e-05,1.5028300149160144e-05,1.0,<=0.75
health,0.5,50%,"Combined
 scores(+)",0.0001088048030292201,5.440240151461005e-05,1.0,<=0.75
health,0.7,70%,"Combined
 scores(+)",-0.00020239632783491913,0.00010119816391745956,1.0,<=0.75
absences,0.1,10%,"Combined
 scores(+)",-4.776508585137042e-06,2.388254292568521e-06,>=0.04,<=0.02666666666666667
absences,0.3,30%,"Combined
 scores(+)",4.918318692978199e-06,2.4591593464890995e-06,>=0.04,<=0.02666666666666667
absences,0.5,50%,"Combined
 scores(+)",0.0012721902084467064,0.0006360951042233532,>=0.04,<=0.02666666666666667
absences,0.7,70%,"Combined
 scores(+)",0.012183267962531621,0.006091633981265811,>=0.04,<=0.02666666666666667
Medu,0.1,10%,"Combined
 scores(+)",1.9755041253757798e-05,9.877520626878899e-06,<=0.75,1.0
Medu,0.3,30%,"Combined
 scores(+)",0.00018413181915261957,9.206590957630979e-05,<=0.75,1.0
Medu,0.5,50%,"Combined
 scores(+)",-0.008121280289795939,0.004060640144897969,<=0.75,1.0
Medu,0.7,70%,"Combined
 scores(+)",0.0170073973809831,0.00850369869049155,<=0.75,1.0
Fjob,0.1,10%,"Combined
 scores(+)",-8.57864548809097e-06,4.289322744045486e-06,>=0.75,<=0.5
Fjob,0.3,30%,"Combined
 scores(+)",-6.649503765195015e-05,3.3247518825975084e-05,>=0.75,<=0.5
Fjob,0.5,50%,"Combined
 scores(+)",-8.861001399623425e-05,4.430500699811712e-05,>=0.75,<=0.5
Fjob,0.7,70%,"Combined
 scores(+)",-0.0006595689272578218,0.0003297844636289109,>=0.75,<=0.5
reason,0.1,10%,"Combined
 scores(+)",-5.285465315300924e-07,2.642732657650462e-07,<=0.3333333333333333,>=0.6666666666666666
reason,0.3,30%,"Combined
 scores(+)",-1.9131759304347866e-05,9.565879652173933e-06,<=0.3333333333333333,>=0.6666666666666666
reason,0.5,50%,"Combined
 scores(+)",-0.00015977499136398982,7.988749568199491e-05,<=0.3333333333333333,>=0.6666666666666666
reason,0.7,70%,"Combined
 scores(+)",-5.074183178178091e-05,2.5370915890890456e-05,<=0.3333333333333333,>=0.6666666666666666
guardian,0.1,10%,"Combined
 scores(+)",-1.743720727070183e-07,8.718603635350916e-08,0.0,0.5
guardian,0.3,30%,"Combined
 scores(+)",7.416517972848137e-06,3.7082589864240685e-06,0.0,0.5
guardian,0.5,50%,"Combined
 scores(+)",1.1306785295349297e-05,5.653392647674648e-06,0.0,0.5
guardian,0.7,70%,"Combined
 scores(+)",-0.0002574667393391328,0.0001287333696695664,0.0,0.5
traveltime,0.1,10%,"Combined
 scores(+)",-1.062622127954848e-06,5.313110639774241e-07,>=0.6666666666666667,<=0.3333333333333333
traveltime,0.3,30%,"Combined
 scores(+)",1.5162625526339048e-05,7.581312763169524e-06,>=0.6666666666666667,<=0.3333333333333333
traveltime,0.5,50%,"Combined
 scores(+)",-0.00017131480495381247,8.565740247690625e-05,>=0.6666666666666667,<=0.3333333333333333
traveltime,0.7,70%,"Combined
 scores(+)",0.0001581541063202068,7.90770531601034e-05,>=0.6666666666666667,<=0.3333333333333333
studytime,0.1,10%,"Combined
 scores(+)",-1.7574083444951463e-07,8.787041722475732e-08,>=0.6666666666666667,<=0.3333333333333333
