ID,Feature,Category,swap_proportion,hellinger_casuality,wasserstein_casuality,cramers_v_casuality,total_variation_casuality,JS_casuality,Casuality,Importance,combined_scores
F_0,age,>=38,0.1,1.161672345640839,0.004042330688734197,2.3004170592357758,0.06235893984557368,0.03490732981932616,1.589,26.816,3.688432438876624e-06
F_0,age,<=37,0.1,0.9118051696915002,0.0019497709704829824,1.8657620226896334,0.06735205913651879,0.027302311087289224,1.248,11.569,2.5143969794359274e-06
F_1,race,0,0.1,0.021368638621444624,6.79289440794458e-05,0.20186922059545548,0.002656978903994104,0.0012554840839557235,0.142,11.966,2.4040736291462783e-09
F_1,race,1,0.1,0.5986126049862748,0.0007635915603522856,1.3087962973925455,0.0167368995431235,0.013754202917007241,0.909,19.845,2.0171302331410852e-07
F_2,sex,0,0.1,0.25745848962765117,0.000646352121710168,0.8621700979000096,0.026447913538070276,0.00975569033256461,0.59,9.661,3.054996581424878e-07
F_2,sex,1,0.1,0.8852210462938318,0.0023648851810754907,1.786664741077228,0.040000536635893875,0.022725183275139033,1.237,23.13,1.452109180996366e-06
F_3,capital-gain,<=3471,0.1,9.698193344845329,0.02902713856390582,8.189753664190748,0.5606255909126574,0.20788757828801516,5.054,22.309,0.0004118379951417851
F_3,capital-gain,>=3674,0.1,6.410812444362942,0.12173014330874372,15.035370118419706,1.9356332256703825,0.5391023054642521,9.168,13.922,0.0017330902014335754
F_4,capital-loss,<=1876,0.1,6.42813339408681,0.015362722549616938,5.872902212731048,0.2988494260340634,0.1365040532731478,3.808,20.808,0.00011251645792431802
F_4,capital-loss,>=1887,0.1,2.363851987971757,0.035520231988067905,9.371004524843954,0.7142827035795323,0.30579370774518866,6.084,12.167,0.000125436543440536
F_5,hours-per-week,<=40,0.1,1.2523387879935237,0.0023364143030816,2.1061819104185355,0.05847026679556776,0.031918794023869476,1.4,14.565,2.9938978166532263e-06
F_5,hours-per-week,>=41,0.1,1.7411332820171648,0.0075834960175095705,3.65464925514181,0.11815796787030383,0.06643117777295862,2.509,29.691,9.558274605126919e-06
F_0,age,>=38,0.3,6.224006809510768,0.04142495164126216,7.432004825926518,0.5728001013246187,0.18181841258762999,4.851,26.816,0.0003603743744822966
F_0,age,<=37,0.3,4.145261613249361,0.014785904644503009,5.70769965477731,0.45597980381689873,0.12310220423825777,3.427,12.678,0.0001423691777551724
F_1,race,0,0.3,0.27157562128758345,0.0014868671536285218,1.140682433402491,0.04949322360884341,0.015482086706043797,0.783,12.037,9.38979025320753e-07
F_1,race,1,0.3,3.0292837704924116,0.0073381829125610965,3.972166011585242,0.15175556117830782,0.06930151661884525,2.654,19.868,1.871714314762463e-05
F_2,sex,0,0.3,1.5341393947742548,0.008546602098466277,3.0863378327299076,0.24947500877162593,0.05700333443983154,1.957,10.407,3.923428788889139e-05
F_2,sex,1,0.3,4.488530298861333,0.02114188641252077,5.629062385511663,0.3312047959280198,0.11308963276615612,3.71,22.763,0.00010561065360203477
F_3,capital-gain,<=3471,0.3,47.89910921867607,0.22825023248078083,31.365514563237085,3.7151601975193067,1.006726603880237,14.662,28.388,0.027752832351356456
F_3,capital-gain,>=3674,0.3,30.060430910585705,0.9815244670300192,54.478778465879536,11.048412775608588,2.287473305543877,25.637,28.353,0.09403960698704102
F_4,capital-loss,<=1876,0.3,33.18365554044178,0.1325840970825864,20.847434388294204,2.2800537019798073,0.6965672896523074,11.277,24.847,0.009007455149610287
F_4,capital-loss,>=1887,0.3,12.155754164860433,0.40212241377048025,35.087835837088676,5.594840734097623,1.4979631907955002,18.631,23.194,0.011930014680871806
F_5,hours-per-week,<=40,0.3,8.555603093262723,0.030838795317812927,9.005259185082918,0.6805014704505205,0.2161334597663172,5.117,16.475,0.0005097223256066256
F_5,hours-per-week,>=41,0.3,9.346430302628201,0.0694872607451176,12.194208850995011,1.0096954119083976,0.35080833073983436,7.766,28.969,0.0007712147523788929
F_0,age,>=38,0.5,13.448932954626978,0.11196206467843223,13.195209932779617,1.4622234072999563,0.3829980563031984,8.028,26.859,0.002678896148442014
F_0,age,<=37,0.5,11.145863333794171,0.053875131256162716,13.177260109123171,1.4027036657153304,0.32654594172120793,6.676,14.699,0.001824618543200315
F_1,race,0,0.5,0.7054343753194261,0.005519186634756047,2.3578067851526976,0.1572827836595364,0.03980246169431108,1.567,12.108,9.53136379692289e-06
F_1,race,1,0.5,6.851644580093384,0.021053427626172416,7.2079407256319215,0.4324482344814889,0.1560838400306537,4.579,20.0,0.0001596387579631798
F_2,sex,0,0.5,3.193288709168711,0.022899004991379847,5.50862124604287,0.5675338244050553,0.1167218097792081,3.231,10.811,0.0002448463536572576
F_2,sex,1,0.5,9.732509384533186,0.06042067893987256,9.891614767939924,0.8631081631760275,0.23978279511311645,6.137,22.595,0.0008486651645683471
F_3,capital-gain,<=3471,0.5,108.55930394383806,0.6888491037663792,74.19331046394097,9.149545608764797,2.2116660906064407,25.207,35.163,0.2780931794558213
F_3,capital-gain,>=3674,0.5,57.882244741776766,2.378938912523381,104.24566111740798,22.143071133425725,3.971419055452632,39.389,40.747,0.524409309876619
F_4,capital-loss,<=1876,0.5,72.40427260379504,0.3730231779054696,44.0869063048763,5.659192472393258,1.500114422950898,19.093,29.255,0.07606621349022599
F_4,capital-loss,>=1887,0.5,24.404810038822554,1.1088273504829924,67.49747785362781,12.584859094380032,2.835569832438702,29.278,30.798,0.08870538500809293
F_5,hours-per-week,<=40,0.5,16.25276862653749,0.07325700004465899,15.498188059726525,1.5135550534325235,0.4099130788740672,7.844,18.151,0.003024106397241531
F_5,hours-per-week,>=41,0.5,18.718967788166385,0.18177885315254033,20.47894206107755,2.505428407602889,0.6861546065970298,12.062,29.003,0.005659257532197005
F_0,age,>=38,0.7,21.446794799159306,0.21316740222819056,19.381404144871606,2.567719867981169,0.5920455477424517,10.866,27.198,0.009662564035348776
F_0,age,<=37,0.7,17.105219451061927,0.09799990658418106,19.37978070585758,2.256605232942643,0.49617185399840735,8.736,15.65,0.00624511420335935
F_1,race,0,0.7,1.3216916309924205,0.011905666859180219,3.7957479286135167,0.31070999616264106,0.07399829701192341,2.422,12.108,3.990815269614594e-05
F_1,race,1,0.7,11.306570781079525,0.040654596261591264,10.57104412637497,0.8109404725251651,0.2566901650910079,6.36,20.323,0.0006181988409605357
F_2,sex,0,0.7,4.830526513277758,0.04073973054452793,7.792647021651215,0.8666618977074366,0.17343106016737297,4.256,11.153,0.000702534622866052
F_2,sex,1,0.7,16.305540746533445,0.1188690457286806,14.920422460337974,1.5752557885691472,0.39284811369062145,8.565,22.672,0.00332545740520044
F_3,capital-gain,<=3471,0.7,182.01247949481328,1.3707838859879928,159.36636521202269,15.70775504230641,3.595413851382501,35.664,41.111,1.3880644340594777
F_3,capital-gain,>=3674,0.7,87.18941508616543,4.030527139103787,181.92845586593265,33.81067322953146,5.473633240047039,51.783,52.462,1.6455342682513872
F_4,capital-loss,<=1876,0.7,125.15761751323865,0.7509540581957679,86.20876317794206,10.442663532066552,2.561234992244802,27.467,33.673,0.3807482114953177
F_4,capital-loss,>=1887,0.7,41.873379627095055,2.1611255138404477,143.12960265016014,22.799555359787746,4.6700567891835885,41.825,44.867,0.45066331947500965
F_5,hours-per-week,<=40,0.7,30.492852338259368,0.1664201751955466,28.407527369207582,3.1011484799007767,0.7631295075419164,12.145,20.178,0.015680799059528676
F_5,hours-per-week,>=41,0.7,31.223804507568623,0.35840513031675486,31.844914231927053,4.69775806770817,1.1202425745308826,16.735,29.003,0.023911123057276825
F_0,age,>=38,0.1,1.0743586868950865,0.003835812628096531,2.07898951468438,0.058854036065843836,0.0320075453531957,1.437,25.266,3.784953351971702e-06
F_0,age,<=37,0.1,0.9495103060385796,0.0019080940085264737,1.8970724488940618,0.07187723429544823,0.028634747743260726,1.268,11.01,2.7364724044486893e-06
F_1,race,0,0.1,0.14713005979762447,0.0003653090164369152,0.7222632806952731,0.014464689855697542,0.008409779791977922,0.502,12.697,7.435945889579795e-08
F_1,race,1,0.1,0.7816728223696545,0.0009880948341289015,1.5019921028760868,0.022908745016096355,0.01792276272373551,1.039,18.854,4.0872890697537833e-07
F_2,sex,0,0.1,0.4455139660388109,0.0011659068535127244,1.3789819278851445,0.04942834062036357,0.016897014038047005,0.924,8.811,8.20695143663916e-07
F_2,sex,1,0.1,0.7430882622481556,0.0019173384614867956,1.501098085930963,0.032338297162710285,0.019098782955165285,1.042,22.321,1.1204699706979526e-06
F_3,capital-gain,<=3471,0.1,9.251250831773296,0.02512103860863737,7.978075518379026,0.5153864259681747,0.19919085855438207,4.884,21.89,0.0003345306764220081
F_3,capital-gain,>=3674,0.1,4.317145568438597,0.07470035794351354,10.783205529582869,1.1571408612209382,0.363307536816981,6.879,11.242,0.0006528699175175533
F_4,capital-loss,<=1876,0.1,6.794825581257147,0.014335294854466385,6.040922364423399,0.3049157249681374,0.1448434310766034,3.882,20.282,0.00011443126515522612
F_4,capital-loss,>=1887,0.1,2.9776167577271893,0.07694234197855811,11.223572029400017,1.0644558405561753,0.3763145999324108,7.224,13.688,0.0003782100520804115
F_5,hours-per-week,<=40,0.1,1.9113729447820285,0.00396680435801275,2.962494681160666,0.09640717633104959,0.04805484280381162,1.926,13.885,7.5624965248786075e-06
F_5,hours-per-week,>=41,0.1,2.004696136013699,0.00737912266596593,3.896705703896316,0.1304515874321044,0.07799933079711122,2.667,29.267,1.159308639938843e-05
F_0,age,>=38,0.3,4.9351909584114315,0.028825699723572403,6.099575439594141,0.42379720918365105,0.14419362079365275,4.02,25.474,0.00020304081798440298
F_0,age,<=37,0.3,4.182661424575569,0.016128869180304782,5.834688669430817,0.48242213825440433,0.12492771147668066,3.502,11.997,0.00015772326715452788
F_1,race,0,0.3,0.7359258649012581,0.0037396643357368352,2.479473052264241,0.12499259467510068,0.04190733979062493,1.65,12.267,4.8224161182272174e-06
F_1,race,1,0.3,3.581053082858127,0.00835105834294381,4.30951256634988,0.17426326586483545,0.08186305489109395,2.854,18.973,2.7711392453398466e-05
F_2,sex,0,0.3,1.4808071431296423,0.007068402656834398,3.1522637251028134,0.24299364355190245,0.05549290759942893,1.972,9.242,2.9420298703791868e-05
F_2,sex,1,0.3,4.026921387030175,0.017270497022606076,4.948071514886505,0.28288041849243595,0.10200711580489213,3.281,22.076,8.568846994309e-05
F_3,capital-gain,<=3471,0.3,50.07343607796112,0.243204897527654,33.808527022221604,3.8986238935207136,1.0495865245445035,15.175,27.559,0.0317702584218826
F_3,capital-gain,>=3674,0.3,26.32976081546096,0.8183573189202378,46.22630528081396,9.298333046697893,2.0184260042201063,23.154,26.846,0.06504184953484259
F_4,capital-loss,<=1876,0.3,34.29987679250575,0.12886369946899545,21.98378514816023,2.3415023860161486,0.7227382984776911,11.519,24.279,0.009339899143985399
F_4,capital-loss,>=1887,0.3,13.02788078449396,0.462337457668251,35.751492774628396,6.057129344352113,1.589278340817703,19.011,22.433,0.01586989310609505
F_5,hours-per-week,<=40,0.3,8.970643458325037,0.031032647341087193,9.320556723749041,0.6982515374898944,0.22479152066364988,5.261,15.668,0.0005316219381637937
F_5,hours-per-week,>=41,0.3,9.072444977926093,0.06412498828423537,11.592776575861514,0.9872719860088272,0.34741050214065616,7.397,28.947,0.0007726741620390456
F_0,age,>=38,0.5,9.861685144590805,0.08280807360637667,9.808628252907647,1.0702364182114372,0.27829118218535753,6.165,25.495,0.0016515013629160773
F_0,age,<=37,0.5,10.153293535717154,0.047492904180226954,11.777765402265256,1.2999458334060714,0.30034670176051165,6.099,13.667,0.0016025521048680983
F_1,race,0,0.5,1.5632203437222008,0.010020292294543053,4.430655663233838,0.31145405783539987,0.08846211951394256,2.798,12.267,3.1198167211529394e-05
F_1,race,1,0.5,7.502770020633986,0.023573604258644614,7.379292308072795,0.47359218168917827,0.17081466632157877,4.645,19.116,0.00022680318271674132
F_2,sex,0,0.5,3.442058556768104,0.021889725245994744,6.067075346471713,0.6161538796999266,0.1264635424457145,3.42,9.519,0.0002603682711381169
F_2,sex,1,0.5,8.437896140726437,0.04975507587027974,8.498262107452852,0.7364761318342706,0.20920028324218476,5.35,22.214,0.0006709768039659997
F_3,capital-gain,<=3471,0.5,106.80342978304468,0.6841759500530885,74.69318511251097,8.954790533522496,2.17235596171448,25.074,33.969,0.2686123139956395
F_3,capital-gain,>=3674,0.5,52.81269645876988,2.0317321179061882,93.80275150108044,19.73826984254708,3.729318609435924,36.913,39.262,0.3990630936746912
F_4,capital-loss,<=1876,0.5,72.51048078690565,0.3535053340289534,44.757572301150304,5.713266351223424,1.5121519996657387,18.862,29.076,0.07830549426522763
F_4,capital-loss,>=1887,0.5,29.029677235398754,1.4380728904609332,79.52265155077473,15.222433869891233,3.2849441786896385,32.7,36.882,0.14518944273737328
F_5,hours-per-week,<=40,0.5,20.862082775973587,0.09740547053281386,19.744183163966923,1.9272563022255669,0.5195865071347241,9.415,17.982,0.005113240566812324
F_5,hours-per-week,>=41,0.5,20.14502617968923,0.18090104055509482,22.09683314045861,2.6774922767820684,0.7583344002113389,12.696,29.623,0.006293036726978012
F_0,age,>=38,0.7,16.383808930230963,0.15634969774437393,15.231568422474103,1.9191208878225412,0.4517825812834714,8.873,26.036,0.005457659477182725
F_0,age,<=37,0.7,15.805669476058847,0.09145152955668681,17.996537003780343,2.1110380575923116,0.46164097026360756,8.273,14.875,0.0054117923423803345
F_1,race,0,0.7,2.371958050664601,0.019260081937677913,6.0299164616687655,0.5298223313249341,0.13286932542588895,3.659,12.123,0.00010818866986788518
F_1,race,1,0.7,11.99197212576329,0.04462106964161062,10.637613475635865,0.858844494872025,0.27239065547626473,6.34,19.666,0.0008241846135448071
