Features,Swap,Swap_ratio,Combined_scores,Scores,Std,Protected,NonProtected
age,0.1,10%,"Combined
 scores(+)",1.1820393576540376e-06,5.910196788270188e-07,<=37,>=38
age,0.3,30%,"Combined
 scores(+)",0.00010012287875366002,5.006143937683001e-05,<=37,>=38
age,0.5,50%,"Combined
 scores(+)",0.0006571637196390201,0.00032858185981951007,<=37,>=38
age,0.7,70%,"Combined
 scores(+)",0.0025751671438212992,0.0012875835719106496,<=37,>=38
race,0.1,10%,"Combined
 scores(+)",2.0537095109488278e-07,1.026854755474414e-07,0,1
race,0.3,30%,"Combined
 scores(+)",1.859956745208111e-05,9.299783726040554e-06,0,1
race,0.5,50%,"Combined
 scores(+)",0.000161541603887783,8.077080194389152e-05,0,1
race,0.7,70%,"Combined
 scores(+)",0.0006261416384486307,0.00031307081922431543,0,1
sex,0.1,10%,"Combined
 scores(+)",2.5433781231475045e-07,1.2716890615737522e-07,0,1
sex,0.3,30%,"Combined
 scores(+)",4.3790498475231875e-05,2.1895249237615938e-05,0,1
sex,0.5,50%,"Combined
 scores(+)",0.00037288269519153997,0.00018644134759576998,0,1
sex,0.7,70%,"Combined
 scores(+)",0.0015983832368143796,0.0007991916184071898,0,1
capital-gain,0.1,10%,"Combined
 scores(+)",0.00065864171788608,0.00032932085894304004,<=3471,>=3674
capital-gain,0.3,30%,"Combined
 scores(+)",0.03641966210855574,0.01820983105427787,<=3471,>=3674
capital-gain,0.5,50%,"Combined
 scores(+)",0.1471084711374966,0.0735542355687483,<=3471,>=3674
capital-gain,0.7,70%,"Combined
 scores(+)",0.33682579745051866,0.16841289872525933,<=3471,>=3674
capital-loss,0.1,10%,"Combined
 scores(+)",6.718203694830024e-05,3.359101847415012e-05,<=1876,>=1887
capital-loss,0.3,30%,"Combined
 scores(+)",0.006058277538304919,0.0030291387691524594,<=1876,>=1887
capital-loss,0.5,50%,"Combined
 scores(+)",0.0427761887332775,0.02138809436663875,<=1876,>=1887
capital-loss,0.7,70%,"Combined
 scores(+)",0.0842790008628162,0.0421395004314081,<=1876,>=1887
hours-per-week,0.1,10%,"Combined
 scores(+)",5.336795508753876e-06,2.668397754376938e-06,<=40,>=41
hours-per-week,0.3,30%,"Combined
 scores(+)",0.00029217351227376015,0.00014608675613688008,<=40,>=41
hours-per-week,0.5,50%,"Combined
 scores(+)",0.002516516017996259,0.0012582580089981294,<=40,>=41
hours-per-week,0.7,70%,"Combined
 scores(+)",0.0069075736491667015,0.0034537868245833507,<=40,>=41
