Feature,"Swap 
 Percentage",Metric,CDI,NDI,NII,Impact_Sum,AVERAGE,NDI2,NII2
age,10%,"Hellinger
 distance(+)",0.3569869689924976,0,2.117766585547686,2.4747535545401833,0.8249178515133945
age,10%,"Wasserstein
 distance(+)",0.00193520026259099,0,2.117766585547686,0.00193520026259099,0.004306989474587634
age,10%,"Contingency
 coefficient(-)",0.6811532878641757,0,5.524967192297394,0.6811532878641757,2.0687068267205233
age,10%,"Total variation
 distance(+)",0.04764462114209866,0,0.24875354315618398,0.04764462114209866,0.09879938809942755
age,10%,"Jensen–Shannon
 divergence(+)",0.03643127138181567,0,0.20414562511647094,0.03643127138181567,0.0801922988327622
age,30%,"Hellinger
 distance(+)",0.6096574008397607,0,3.7721713238892582,4.381828724729019,1.4606095749096728
age,30%,"Wasserstein
 distance(+)",0.005230263614432275,0,3.7721713238892582,0.005230263614432275,0.0115990063426417
age,30%,"Contingency
 coefficient(-)",0.6280188235938005,0,5.223772447035509,0.6280188235938005,1.9505970902097698
age,30%,"Total variation
 distance(+)",0.12742890234842488,0,0.6967527966116998,0.12742890234842488,0.2747272329867082
age,30%,"Jensen–Shannon
 divergence(+)",0.06067845311861233,0,0.3738131646272189,0.06067845311861233,0.14483053924861042
age,50%,"Hellinger
 distance(+)",0.8021616373341205,0,4.876579660653677,5.678741297987798,1.8929137659959325
age,50%,"Wasserstein
 distance(+)",0.007115530274295495,0,4.876579660653677,0.007115530274295495,0.017626540976240525
age,50%,"Contingency
 coefficient(-)",0.5513479058269005,0,4.89271450470263,0.5513479058269005,1.81468747017651
age,50%,"Total variation
 distance(+)",0.20803503938103426,0,1.0925404102211949,0.20803503938103426,0.4335251498674097
age,50%,"Jensen–Shannon
 divergence(+)",0.08163869517897489,0,0.4803303343595746,0.08163869517897489,0.1873230098461832
age,70%,"Hellinger
 distance(+)",0.9541073196289149,0,5.765961963754961,6.720069283383876,2.240023094461292
age,70%,"Wasserstein
 distance(+)",0.011582268581648266,0,5.765961963754961,0.011582268581648266,0.024258391079088535
age,70%,"Contingency
 coefficient(-)",0.4618236539195381,0,4.4685117075399035,0.4618236539195381,1.6434451204864804
age,70%,"Total variation
 distance(+)",0.2941436681534035,0,1.485763890109237,0.2941436681534035,0.5933025194208802
age,70%,"Jensen–Shannon
 divergence(+)",0.09761033384128506,0,0.5667860844511214,0.09761033384128506,0.2214654727641355
balance,10%,"Hellinger
 distance(+)",0.37545861297242533,0,1.2700353679557426,1.645493980928168,0.5484979936427227
balance,10%,"Wasserstein
 distance(+)",0.0014113879918074,0,1.2700353679557426,0.0014113879918074,0.003522603199668022
balance,10%,"Contingency
 coefficient(-)",0.6836984366167467,0,2.743656176793913,0.6836984366167467,1.1424515378035531
balance,10%,"Total variation
 distance(+)",0.04124824312414451,0,0.17175944360755396,0.04124824312414451,0.07100256224389949
balance,10%,"Jensen–Shannon
 divergence(+)",0.03515490196773285,0,0.11565876946455879,0.03515490196773285,0.050271223810763876
balance,30%,"Hellinger
 distance(+)",0.6448495083603698,0,2.213350295962265,2.858199804322635,0.952733268107545
balance,30%,"Wasserstein
 distance(+)",0.003402383691505885,0,2.213350295962265,0.003402383691505885,0.009018059135355793
balance,30%,"Contingency
 coefficient(-)",0.6311462858563711,0,2.5532091628432947,0.6311462858563711,1.061451816233222
balance,30%,"Total variation
 distance(+)",0.11446047436614845,0,0.4574059976095329,0.11446047436614845,0.1906221573252271
balance,30%,"Jensen–Shannon
 divergence(+)",0.060575279045173444,0,0.20147792935489162,0.060575279045173444,0.08735106946668836
balance,50%,"Hellinger
 distance(+)",0.8249985640129346,0,2.8543476786921924,3.679346242705127,1.2264487475683756
balance,50%,"Wasserstein
 distance(+)",0.0048438396223265,0,2.8543476786921924,0.0048438396223265,0.014451882394980069
balance,50%,"Contingency
 coefficient(-)",0.571629092059055,0,2.3316231321040104,0.571629092059055,0.9677507413876884
balance,50%,"Total variation
 distance(+)",0.17918969224599374,0,0.7136949416152738,0.17918969224599374,0.29762821128708916
balance,50%,"Jensen–Shannon
 divergence(+)",0.07733766664712563,0,0.2565190958337559,0.07733766664712563,0.11128558749362716
balance,70%,"Hellinger
 distance(+)",0.9774080699921228,0,3.3652423156401894,4.342650385632313,1.4475501285441041
balance,70%,"Wasserstein
 distance(+)",0.00808149243388907,0,3.3652423156401894,0.00808149243388907,0.019910439939025693
balance,70%,"Contingency
 coefficient(-)",0.4981421909945216,0,2.0750725841009277,0.4981421909945216,0.8577382583651497
balance,70%,"Total variation
 distance(+)",0.2540646627395868,0,0.9441911391921172,0.2540646627395868,0.39941860064390133
balance,70%,"Jensen–Shannon
 divergence(+)",0.09166573995832605,0,0.2978727884251874,0.09166573995832605,0.1298461761278378
default,10%,"Hellinger
 distance(+)",0.0304393158789882,0,0,0.0304393158789882,0.0101464386263294
default,10%,"Wasserstein
 distance(+)",7.80115720968e-05,0,0,7.80115720968e-05,2.60038573656e-05
default,10%,"Contingency
 coefficient(-)",0.671312601298009,0,0,0.671312601298009,0.22377086709933633
default,10%,"Total variation
 distance(+)",0.001131842475176935,0,0,0.001131842475176935,0.00037728082505897835
default,10%,"Jensen–Shannon
 divergence(+)",0.001936930185696285,0,0,0.001936930185696285,0.000645643395232095
default,30%,"Hellinger
 distance(+)",0.09075583928051896,0,0,0.09075583928051896,0.030251946426839652
default,30%,"Wasserstein
 distance(+)",0.00074665254701204,0,0,0.00074665254701204,0.00024888418233734666
default,30%,"Contingency
 coefficient(-)",0.6676371152797937,0,0,0.6676371152797937,0.22254570509326457
default,30%,"Total variation
 distance(+)",0.01025114604889381,0,0,0.01025114604889381,0.0034170486829646035
default,30%,"Jensen–Shannon
 divergence(+)",0.00800380909811666,0,0,0.00800380909811666,0.0026679363660388864
default,50%,"Hellinger
 distance(+)",0.13039870773727585,0,0,0.13039870773727585,0.04346623591242529
default,50%,"Wasserstein
 distance(+)",0.00192004183446107,0,0,0.00192004183446107,0.0006400139448203566
default,50%,"Contingency
 coefficient(-)",0.6581265685674762,0,0,0.6581265685674762,0.2193755228558254
default,50%,"Total variation
 distance(+)",0.029686112831168586,0,0,0.029686112831168586,0.009895370943722863
default,50%,"Jensen–Shannon
 divergence(+)",0.013694420643285595,0,0,0.013694420643285595,0.004564806881095199
default,70%,"Hellinger
 distance(+)",0.1512340375726841,0,0,0.1512340375726841,0.05041134585756137
default,70%,"Wasserstein
 distance(+)",0.0020766097803108204,0,0,0.0020766097803108204,0.0006922032601036068
default,70%,"Contingency
 coefficient(-)",0.6568056636581057,0,0,0.6568056636581057,0.21893522121936856
default,70%,"Total variation
 distance(+)",0.03244854744339112,0,0,0.03244854744339112,0.010816182481130372
default,70%,"Jensen–Shannon
 divergence(+)",0.01500815710909172,0,0,0.01500815710909172,0.005002719036363907
campaign,10%,"Hellinger
 distance(+)",0.09501600756271157,0,0.03520420415731477,0.13022021172002635,0.043406737240008784
campaign,10%,"Wasserstein
 distance(+)",0.00017862514955694443,0,0.03520420415731477,0.00017862514955694443,0.00010385503884500738
campaign,10%,"Contingency
 coefficient(-)",0.5483227251518503,0,0.5492623730531334,0.5483227251518503,0.36586169940166124
campaign,10%,"Total variation
 distance(+)",0.003557422442922478,0,0.001863536327296161,0.003557422442922478,0.0018069862567395463
campaign,10%,"Jensen–Shannon
 divergence(+)",0.006300312625938895,0,0.0022265505704233057,0.006300312625938895,0.002842287732120733
campaign,30%,"Hellinger
 distance(+)",0.1573561509078312,0,0.07609048822356189,0.23344663913139307,0.07781554637713102
campaign,30%,"Wasserstein
 distance(+)",0.001260958692456361,0,0.07609048822356189,0.001260958692456361,0.0005142404527014537
campaign,30%,"Contingency
 coefficient(-)",0.5057229842355631,0,0.5481312905641862,0.5057229842355631,0.35128475826658306
campaign,30%,"Total variation
 distance(+)",0.026173238878127527,0,0.004368857996850067,0.026173238878127527,0.010180698958325865
campaign,30%,"Jensen–Shannon
 divergence(+)",0.014676619254230769,0,0.004817978952047938,0.014676619254230769,0.006498199402092903
campaign,50%,"Hellinger
 distance(+)",0.17485429558200338,0,0.10651902248827722,0.2813733180702806,0.09379110602342687
campaign,50%,"Wasserstein
 distance(+)",0.001388882517399078,0,0.10651902248827722,0.001388882517399078,0.0006039129040593223
campaign,50%,"Contingency
 coefficient(-)",0.5320557407694289,0,0.5075755946316877,0.5320557407694289,0.3465437784670389
campaign,50%,"Total variation
 distance(+)",0.03273319784230767,0,0.006919951088427761,0.03273319784230767,0.013217716310245141
campaign,50%,"Jensen–Shannon
 divergence(+)",0.017505998849705617,0,0.006744967457056356,0.017505998849705617,0.008083655435587324
campaign,70%,"Hellinger
 distance(+)",0.2136406217855381,0,0.12289038246437656,0.33653100424991467,0.11217700141663822
campaign,70%,"Wasserstein
 distance(+)",0.00394936767359445,0,0.12289038246437656,0.00394936767359445,0.001501737596360874
campaign,70%,"Contingency
 coefficient(-)",0.5157265311206549,0,0.5066425346505086,0.5157265311206549,0.34078968859038783
campaign,70%,"Total variation
 distance(+)",0.05894953103350415,0,0.008944315144554316,0.05894953103350415,0.02263128205935282
campaign,70%,"Jensen–Shannon
 divergence(+)",0.02594240968337101,0,0.007770634128585789,0.02594240968337101,0.011237681270652266
job,10%,"Hellinger
 distance(+)",0.16665963094236913,0,1.9667399368909155,2.1333995678332847,0.7111331892777616
job,10%,"Wasserstein
 distance(+)",0.00049408937823232,0,1.9667399368909155,0.00049408937823232,0.0038142638270712652
job,10%,"Contingency
 coefficient(-)",0.7012656998604165,0,4.118244122719611,0.7012656998604165,1.6065032741933425
job,10%,"Total variation
 distance(+)",0.0115366066113995,0,0.23736706127203805,0.0115366066113995,0.08296788929447918
job,10%,"Jensen–Shannon
 divergence(+)",0.01616074590714669,0,0.17687809547770264,0.01616074590714669,0.06434628046161645
job,30%,"Hellinger
 distance(+)",0.31386162083130265,0,3.452152191683779,3.7660138125150815,1.255337937505027
job,30%,"Wasserstein
 distance(+)",0.00104035531138002,0,3.452152191683779,0.00104035531138002,0.009966900430697638
job,30%,"Contingency
 coefficient(-)",0.685225793281699,0,3.845249052638253,0.685225793281699,1.5101582819733173
job,30%,"Total variation
 distance(+)",0.0358715684496166,0,0.6403387746471688,0.0358715684496166,0.22540344769892848
job,30%,"Jensen–Shannon
 divergence(+)",0.03135733945785203,0,0.3075398741823199,0.03135733945785203,0.1129657378800573
job,50%,"Hellinger
 distance(+)",0.43560127306706287,0,4.4627496303544625,4.898350903421525,1.6327836344738416
job,50%,"Wasserstein
 distance(+)",0.00194816095416858,0,4.4627496303544625,0.00194816095416858,0.016542148512487958
job,50%,"Contingency
 coefficient(-)",0.6626011964185773,0,3.523148425526593,0.6626011964185773,1.3952498739817234
job,50%,"Total variation
 distance(+)",0.06852051862622148,0,1.0192575946998488,0.06852051862622148,0.3625927044420234
job,50%,"Jensen–Shannon
 divergence(+)",0.04459545356871085,0,0.3940609109348447,0.04459545356871085,0.14621878816785186
job,70%,"Hellinger
 distance(+)",0.5097589624148767,0,5.290605182138825,5.8003641445537015,1.9334547148512338
job,70%,"Wasserstein
 distance(+)",0.00257847835646968,0,5.290605182138825,0.00257847835646968,0.02243185424150655
job,70%,"Contingency
 coefficient(-)",0.6398810937525873,0,3.144791402611095,0.6398810937525873,1.2615574987878941
job,70%,"Total variation
 distance(+)",0.09622741778019092,0,1.3677007500507667,0.09622741778019092,0.48797605594365256
job,70%,"Jensen–Shannon
 divergence(+)",0.05410704789419143,0,0.46311020268110703,0.05410704789419143,0.17240575019176616
education,10%,"Hellinger
 distance(+)",0.3155945527487888,0,2.208324050011767,2.523918602760556,0.8413062009201853
education,10%,"Wasserstein
 distance(+)",0.00105667576028284,0,2.208324050011767,0.00105667576028284,0.0042048099896274315
education,10%,"Contingency
 coefficient(-)",0.691154902756854,0,4.815244296797903,0.691154902756854,1.8354663998515857
education,10%,"Total variation
 distance(+)",0.028986638483053946,0,0.2548540315279578,0.028986638483053946,0.09461355667033726
education,10%,"Jensen–Shannon
 divergence(+)",0.028744688517267726,0,0.2006581450232518,0.028744688517267726,0.07646761118017317
education,30%,"Hellinger
 distance(+)",0.5452984640764009,0,3.906887238439272,4.452185702515673,1.4840619008385578
education,30%,"Wasserstein
 distance(+)",0.00301133781310873,0,3.906887238439272,0.00301133781310873,0.011240552387108459
education,30%,"Contingency
 coefficient(-)",0.6583403840802361,0,4.5194903149220025,0.6583403840802361,1.7259435663340794
education,30%,"Total variation
 distance(+)",0.08182682689866813,0,0.6963391538617629,0.08182682689866813,0.259388660253477
education,30%,"Jensen–Shannon
 divergence(+)",0.0493064384081707,0,0.35145721765469284,0.0493064384081707,0.13358788535428787
education,50%,"Hellinger
 distance(+)",0.7076520250893453,0,5.098966794605239,5.8066188196945845,1.9355396065648616
education,50%,"Wasserstein
 distance(+)",0.004618972940866095,0,5.098966794605239,0.004618972940866095,0.018290390362654962
education,50%,"Contingency
 coefficient(-)",0.6201563211115177,0,4.153202821762177,0.6201563211115177,1.5911197142912314
education,50%,"Total variation
 distance(+)",0.13230008933827916,0,1.1245569254804084,0.13230008933827916,0.41895233827289585
education,50%,"Jensen–Shannon
 divergence(+)",0.06392019057663592,0,0.4542958224073218,0.06392019057663592,0.17273867099465257
education,70%,"Hellinger
 distance(+)",0.8346155904439458,0,6.010294434207861,6.844910024651806,2.2816366748839356
education,70%,"Wasserstein
 distance(+)",0.00707119151820534,0,6.010294434207861,0.00707119151820534,0.025374387619880815
education,70%,"Contingency
 coefficient(-)",0.5796293588160387,0,3.7490815788631053,0.5796293588160387,1.442903645893048
education,70%,"Total variation
 distance(+)",0.1840981353818153,0,1.5113591837922478,0.1840981353818153,0.5651524397246876
education,70%,"Jensen–Shannon
 divergence(+)",0.07521256477359417,0,0.5321435452756799,0.07521256477359417,0.20245203668309134
loan,10%,"Hellinger
 distance(+)",0.24824904283249366,0,1.4716574311003452,1.719906473932839,0.573302157977613
loan,10%,"Wasserstein
 distance(+)",0.00147947120152031,0,1.4716574311003452,0.00147947120152031,0.004431315108736789
loan,10%,"Contingency
 coefficient(-)",0.6947739227317478,0,3.4226326098247144,0.6947739227317478,1.3724688441854873
loan,10%,"Total variation
 distance(+)",0.026974086433961326,0,0.22704375645401212,0.026974086433961326,0.08467261429599116
loan,10%,"Jensen–Shannon
 divergence(+)",0.02245241292197346,0,0.146520950916061,0.02245241292197346,0.056324454612678154
loan,30%,"Hellinger
 distance(+)",0.4686183512182285,0,2.6132204423410457,3.081838793559274,1.0272795978530913
loan,30%,"Wasserstein
 distance(+)",0.00370886233375411,0,2.6132204423410457,0.00370886233375411,0.010479465859576651
loan,30%,"Contingency
 coefficient(-)",0.6669369427528297,0,3.177607883397339,0.6669369427528297,1.2815149420500562
loan,30%,"Total variation
 distance(+)",0.07613559803188566,0,0.573553916397854,0.07613559803188566,0.21656317147657989
loan,30%,"Jensen–Shannon
 divergence(+)",0.04406699302952714,0,0.2545128429389406,0.04406699302952714,0.09952661198948926
loan,50%,"Hellinger
 distance(+)",0.6086960900149793,0,3.4149544201183684,4.023650510133348,1.341216836711116
loan,50%,"Wasserstein
 distance(+)",0.006590896192968094,0,3.4149544201183684,0.006590896192968094,0.01685614257019145
loan,50%,"Contingency
 coefficient(-)",0.6371894700307844,0,2.8813584561380314,0.6371894700307844,1.1728493087229386
loan,50%,"Total variation
 distance(+)",0.1258358790943362,0,0.8994310011237042,0.1258358790943362,0.34175562673934684
loan,50%,"Jensen–Shannon
 divergence(+)",0.056628800520837755,0,0.32968483708531227,0.056628800520837755,0.12877121253538334
loan,70%,"Hellinger
 distance(+)",0.7211582083572002,0,4.059261189602455,4.780419397959655,1.5934731326532183
loan,70%,"Wasserstein
 distance(+)",0.00860527716950804,0,4.059261189602455,0.00860527716950804,0.02361343843332554
