Features,Swap,Swap_ratio,Distance_measure,Difference,Std,Protected,NonProtected
age,0.1,10%,"Hellinger
 distance(+)",-0.019758483831873598,0.009879241915936799,1.0,0.0
age,0.1,10%,"Wasserstein
 distance(+)",-0.0010127197153696,0.0005063598576848,1.0,0.0
age,0.1,10%,"Contingency
 coefficient(-)",0.004633130461043522,0.002316565230521761,1.0,0.0
age,0.1,10%,"Total variation
 distance(+)",-0.01249999999999998,0.00624999999999999,1.0,0.0
age,0.1,10%,"Jensen-Shannon
 divergence(+)",-0.007392120992211,0.0036960604961055,1.0,0.0
age,0.3,30%,"Hellinger
 distance(+)",-0.019758483831873598,0.009879241915936799,1.0,0.0
age,0.3,30%,"Wasserstein
 distance(+)",-0.0012968311287312202,0.00064841556436561,1.0,0.0
age,0.3,30%,"Contingency
 coefficient(-)",0.005981444645304146,0.002990722322652073,1.0,0.0
age,0.3,30%,"Total variation
 distance(+)",-0.01593614718614716,0.00796807359307358,1.0,0.0
age,0.3,30%,"Jensen-Shannon
 divergence(+)",-0.00837013972254122,0.00418506986127061,1.0,0.0
age,0.5,50%,"Hellinger
 distance(+)",0.0,0.0,1.0,0.0
age,0.5,50%,"Wasserstein
 distance(+)",-0.00037346903530598077,0.00018673451765299038,1.0,0.0
age,0.5,50%,"Contingency
 coefficient(-)",0.002801422494278838,0.001400711247139419,1.0,0.0
age,0.5,50%,"Total variation
 distance(+)",-0.006867519735166784,0.003433759867583392,1.0,0.0
age,0.5,50%,"Jensen-Shannon
 divergence(+)",-0.0011150737965210378,0.0005575368982605189,1.0,0.0
age,0.7,70%,"Hellinger
 distance(+)",-0.00627998207036809,0.003139991035184045,1.0,0.0
age,0.7,70%,"Wasserstein
 distance(+)",-0.0013861887506756007,0.0006930943753378003,1.0,0.0
age,0.7,70%,"Contingency
 coefficient(-)",0.007735262635879647,0.0038676313179398236,1.0,0.0
age,0.7,70%,"Total variation
 distance(+)",-0.018019480519480546,0.009009740259740273,1.0,0.0
age,0.7,70%,"Jensen-Shannon
 divergence(+)",-0.00321710055307246,0.00160855027653623,1.0,0.0
sex,0.1,10%,"Hellinger
 distance(+)",0.039516967663747196,0.019758483831873598,0.0,1.0
sex,0.1,10%,"Wasserstein
 distance(+)",0.0016195477987854998,0.0008097738993927499,0.0,1.0
sex,0.1,10%,"Contingency
 coefficient(-)",-0.0074847565859649245,0.0037423782929824623,0.0,1.0
sex,0.1,10%,"Total variation
 distance(+)",0.02035973084886126,0.01017986542443063,0.0,1.0
sex,0.1,10%,"Jensen-Shannon
 divergence(+)",0.013255889223465581,0.0066279446117327905,0.0,1.0
sex,0.3,30%,"Hellinger
 distance(+)",0.02794271580696516,0.01397135790348258,0.0,1.0
sex,0.3,30%,"Wasserstein
 distance(+)",0.0011266419469812205,0.0005633209734906102,0.0,1.0
sex,0.3,30%,"Contingency
 coefficient(-)",-0.005113400867886142,0.002556700433943071,0.0,1.0
sex,0.3,30%,"Total variation
 distance(+)",0.013493484350261816,0.006746742175130908,0.0,1.0
sex,0.3,30%,"Jensen-Shannon
 divergence(+)",0.007429107249388759,0.0037145536246943793,0.0,1.0
sex,0.5,50%,"Hellinger
 distance(+)",0.04240692985242482,0.02120346492621241,0.0,1.0
sex,0.5,50%,"Wasserstein
 distance(+)",0.00164694915835574,0.00082347457917787,0.0,1.0
sex,0.5,50%,"Contingency
 coefficient(-)",-0.0029273772329863057,0.0014636886164931528,0.0,1.0
sex,0.5,50%,"Total variation
 distance(+)",0.009315952925792723,0.004657976462896361,0.0,1.0
sex,0.5,50%,"Jensen-Shannon
 divergence(+)",0.00841239248545586,0.00420619624272793,0.0,1.0
sex,0.7,70%,"Hellinger
 distance(+)",0.04418131298039989,0.022090656490199943,0.0,1.0
sex,0.7,70%,"Wasserstein
 distance(+)",-0.0006136543948256808,0.0003068271974128404,0.0,1.0
sex,0.7,70%,"Contingency
 coefficient(-)",-0.0031983048203071407,0.0015991524101535703,0.0,1.0
sex,0.7,70%,"Total variation
 distance(+)",-0.006006918647078849,0.003003459323539425,0.0,1.0
sex,0.7,70%,"Jensen-Shannon
 divergence(+)",0.005974838199976275,0.0029874190999881374,0.0,1.0
ca,0.1,10%,"Hellinger
 distance(+)",0.027942715806965168,0.013971357903482584,>=2.0,<=1.0
ca,0.1,10%,"Wasserstein
 distance(+)",-0.0027036994315494806,0.0013518497157747403,>=2.0,<=1.0
ca,0.1,10%,"Contingency
 coefficient(-)",0.166458843840964,0.083229421920482,>=2.0,<=1.0
ca,0.1,10%,"Total variation
 distance(+)",-0.04624958861800969,0.023124794309004847,>=2.0,<=1.0
ca,0.1,10%,"Jensen-Shannon
 divergence(+)",-0.002691399364461944,0.001345699682230972,>=2.0,<=1.0
ca,0.3,30%,"Hellinger
 distance(+)",0.12610521049657192,0.06305260524828595,>=2.0,<=1.0
ca,0.3,30%,"Wasserstein
 distance(+)",0.003320804976093681,0.0016604024880468404,>=2.0,<=1.0
ca,0.3,30%,"Contingency
 coefficient(-)",0.11716899036308126,0.05858449518154063,>=2.0,<=1.0
ca,0.3,30%,"Total variation
 distance(+)",0.05339095123992141,0.026695475619960704,>=2.0,<=1.0
ca,0.3,30%,"Jensen-Shannon
 divergence(+)",0.027239698053225587,0.013619849026612793,>=2.0,<=1.0
ca,0.5,50%,"Hellinger
 distance(+)",0.19255675060118838,0.09627837530059417,>=2.0,<=1.0
ca,0.5,50%,"Wasserstein
 distance(+)",0.01059093841413674,0.00529546920706837,>=2.0,<=1.0
ca,0.5,50%,"Contingency
 coefficient(-)",0.08213789429292528,0.04106894714646264,>=2.0,<=1.0
ca,0.5,50%,"Total variation
 distance(+)",0.11750779079881242,0.05875389539940621,>=2.0,<=1.0
ca,0.5,50%,"Jensen-Shannon
 divergence(+)",0.04328577537116273,0.021642887685581366,>=2.0,<=1.0
ca,0.7,70%,"Hellinger
 distance(+)",0.19453033172017137,0.09726516586008568,>=2.0,<=1.0
ca,0.7,70%,"Wasserstein
 distance(+)",0.007715497463100199,0.0038577487315500994,>=2.0,<=1.0
ca,0.7,70%,"Contingency
 coefficient(-)",0.0768678851484918,0.0384339425742459,>=2.0,<=1.0
ca,0.7,70%,"Total variation
 distance(+)",0.1169811108603109,0.05849055543015545,>=2.0,<=1.0
ca,0.7,70%,"Jensen-Shannon
 divergence(+)",0.03456050860515906,0.01728025430257953,>=2.0,<=1.0
thal,0.1,10%,"Hellinger
 distance(+)",0.04431117975714828,0.02215558987857414,6.0,3.0
thal,0.1,10%,"Wasserstein
 distance(+)",-0.012675822192877061,0.006337911096438531,6.0,3.0
thal,0.1,10%,"Contingency
 coefficient(-)",0.31773427193230785,0.15886713596615393,6.0,3.0
thal,0.1,10%,"Total variation
 distance(+)",-0.05844867199705912,0.02922433599852956,6.0,3.0
thal,0.1,10%,"Jensen-Shannon
 divergence(+)",-0.008166449722145721,0.0040832248610728605,6.0,3.0
thal,0.3,30%,"Hellinger
 distance(+)",0.0945530975785045,0.04727654878925225,6.0,3.0
thal,0.3,30%,"Wasserstein
 distance(+)",-0.01351507265083606,0.00675753632541803,6.0,3.0
thal,0.3,30%,"Contingency
 coefficient(-)",0.33451302351903495,0.16725651175951747,6.0,3.0
thal,0.3,30%,"Total variation
 distance(+)",-0.05142291750636779,0.025711458753183897,6.0,3.0
thal,0.3,30%,"Jensen-Shannon
 divergence(+)",-0.001912664543725344,0.000956332271862672,6.0,3.0
thal,0.5,50%,"Hellinger
 distance(+)",0.17322908854073135,0.08661454427036568,6.0,3.0
thal,0.5,50%,"Wasserstein
 distance(+)",0.008300624340000538,0.004150312170000269,6.0,3.0
thal,0.5,50%,"Contingency
 coefficient(-)",0.1846626191351689,0.09233130956758445,6.0,3.0
thal,0.5,50%,"Total variation
 distance(+)",0.17190393524194364,0.08595196762097182,6.0,3.0
thal,0.5,50%,"Jensen-Shannon
 divergence(+)",0.03886040314852543,0.019430201574262715,6.0,3.0
thal,0.7,70%,"Hellinger
 distance(+)",0.21587271857589077,0.10793635928794539,6.0,3.0
thal,0.7,70%,"Wasserstein
 distance(+)",0.004913516054766177,0.0024567580273830887,6.0,3.0
thal,0.7,70%,"Contingency
 coefficient(-)",0.09571512254687309,0.047857561273436544,6.0,3.0
thal,0.7,70%,"Total variation
 distance(+)",0.20268203430510573,0.10134101715255286,6.0,3.0
thal,0.7,70%,"Jensen-Shannon
 divergence(+)",0.05452986383652661,0.027264931918263305,6.0,3.0
cp,0.1,10%,"Hellinger
 distance(+)",0.08001964761144856,0.04000982380572427,4.0,<=3.0
cp,0.1,10%,"Wasserstein
 distance(+)",0.003820688834220539,0.0019103444171102695,4.0,<=3.0
cp,0.1,10%,"Contingency
 coefficient(-)",-0.055027411322668196,0.027513705661334098,4.0,<=3.0
cp,0.1,10%,"Total variation
 distance(+)",0.09614718614718615,0.048073593073593074,4.0,<=3.0
cp,0.1,10%,"Jensen-Shannon
 divergence(+)",0.02943438154126092,0.01471719077063046,4.0,<=3.0
cp,0.3,30%,"Hellinger
 distance(+)",0.03958404703426882,0.01979202351713441,4.0,<=3.0
cp,0.3,30%,"Wasserstein
 distance(+)",0.003971156746957218,0.001985578373478609,4.0,<=3.0
cp,0.3,30%,"Contingency
 coefficient(-)",-0.06351352531302445,0.03175676265651223,4.0,<=3.0
cp,0.3,30%,"Total variation
 distance(+)",0.08135578901513077,0.040677894507565385,4.0,<=3.0
cp,0.3,30%,"Jensen-Shannon
 divergence(+)",0.011624074706263046,0.005812037353131523,4.0,<=3.0
cp,0.5,50%,"Hellinger
 distance(+)",0.01807576770763658,0.00903788385381829,4.0,<=3.0
cp,0.5,50%,"Wasserstein
 distance(+)",-0.0017344187798191413,0.0008672093899095706,4.0,<=3.0
cp,0.5,50%,"Contingency
 coefficient(-)",-0.047087223329785655,0.023543611664892827,4.0,<=3.0
cp,0.5,50%,"Total variation
 distance(+)",0.026784608580274205,0.013392304290137103,4.0,<=3.0
cp,0.5,50%,"Jensen-Shannon
 divergence(+)",0.003912792669827747,0.0019563963349138735,4.0,<=3.0
cp,0.7,70%,"Hellinger
 distance(+)",0.04568348301209141,0.022841741506045704,4.0,<=3.0
cp,0.7,70%,"Wasserstein
 distance(+)",0.0028072300422478796,0.0014036150211239398,4.0,<=3.0
cp,0.7,70%,"Contingency
 coefficient(-)",-0.13007538970949023,0.06503769485474512,4.0,<=3.0
cp,0.7,70%,"Total variation
 distance(+)",0.08820785664657649,0.044103928323288244,4.0,<=3.0
cp,0.7,70%,"Jensen-Shannon
 divergence(+)",0.013724514843218238,0.006862257421609119,4.0,<=3.0
fbs,0.1,10%,"Hellinger
 distance(+)",0.0,0.0,1.0,0.0
