Feature,Swap_proportion,Metric,Direct_Impact,Indirect_Impact,Impact_Sum,Impact_Product,Value
age,10%,"Contingency
 coefficient(-)",0.6452,0.1871681159420291,0.8323681159420291,0.12076086840579717,1.4400810810810811
age,10%,"Impact
 distance(+)",0.2,0.009420289855072456,0.20942028985507247,0.0018840579710144912,0.21621621621621626
age,10%,"Impact 
 Distance Contrained(+)",0.0064516129032257995,0.001871319706027984,0.008322932609253784,1.2073030361470853e-05,0.014400816531301545
age,30%,"Contingency
 coefficient(-)",0.7712000000000002,2.506885507246377,3.2780855072463773,1.9333101031884063,5.444956756756756
age,30%,"Impact
 distance(+)",0.2,0.12753623188405805,0.32753623188405806,0.02550724637681161,0.4729729729729731
age,30%,"Impact 
 Distance Contrained(+)",0.00771211710490648,0.02506874808270121,0.032780865187607686,0.00019333312088719152,0.054449471185490886
age,50%,"Contingency
 coefficient(-)",0.4620000000000002,0.42461956521739275,0.8866195652173929,0.19617423913043552,8.70707027027027
age,50%,"Impact
 distance(+)",0.19999999999999996,0.047826086956521796,0.24782608695652175,0.009565217391304358,0.5648648648648649
age,50%,"Impact 
 Distance Contrained(+)",0.004621848739495799,0.004245946444481327,0.008867795183977126,1.9624122222392692e-05,0.08707080788899543
age,70%,"Contingency
 coefficient(-)",0.28759999999999986,0.7211710144927519,1.0087710144927517,0.20740878376811533,11.762797297297297
age,70%,"Impact
 distance(+)",0.4,0.09202898550724625,0.4920289855072463,0.0368115942028985,0.6216216216216216
age,70%,"Impact 
 Distance Contrained(+)",0.0028759716615504166,0.00721211620360851,0.010088087865158926,2.0741841821386647e-05,0.11762807763315963
ca,10%,"Contingency
 coefficient(-)",0.6319999999999999,1.4249683333333334,2.0569683333333333,0.9005799866666666,1.9797833333333337
ca,10%,"Impact
 distance(+)",0.6000000000000001,0.39166666666666666,0.9916666666666667,0.23500000000000004,0.23888888888888887
ca,10%,"Impact 
 Distance Contrained(+)",0.006318398926301639,0.01425005259952422,0.020568451525825857,9.003751704457571e-05,0.019797840106246183
ca,30%,"Contingency
 coefficient(-)",1.1641999999999992,3.49407,4.658269999999999,4.067796293999997,6.566711111111111
ca,30%,"Impact
 distance(+)",0.6,0.5891666666666666,1.1891666666666665,0.3535,0.4583333333333333
ca,30%,"Impact 
 Distance Contrained(+)",0.011640294415638575,0.034939935487783014,0.04658022990342159,0.0004067111359412127,0.06566661789854587
