Feature,Swap_proportion,Metric,Direct_Impact,Indirect_Impact,Impact_Sum,Impact_Product,Value
age,10%,"Hellinger
 distance(+)",0.019758483831873598,0.002197664912239647,0.021956148744113245,4.3422526636362976e-05,0.022908891272988785
age,10%,"Wasserstein
 distance(+)",0.0010127197153696,0.0005200537355983114,0.0015327734509679113,5.26668671092019e-07,0.002124879281973915
age,10%,"Contingency
 coefficient(-)",0.004633130461043522,0.08793214317378972,0.09256527363483324,0.0004074010910433254,0.6341116434068375
age,10%,"Total variation
 distance(+)",0.01249999999999998,0.0014753673953263324,0.013975367395326312,1.8442092441579125e-05,0.03712943405667863
age,10%,"Jensen-Shannon
 divergence(+)",0.007392120992211,0.0015074754647503123,0.008899596456961312,1.1143441028223818e-05,0.011438267656326615
age,30%,"Hellinger
 distance(+)",0.0592754514956208,0.018518141235295056,0.07779359273091585,0.0010976711825817875,0.05707929191567056
age,30%,"Wasserstein
 distance(+)",0.00334141862131564,0.0012315667848551617,0.004572985406170802,4.1151801883088694e-06,0.007953894386578297
age,30%,"Contingency
 coefficient(-)",0.016971180949173825,0.07148936849258192,0.08846054944175574,0.0012132590086297737,0.6056436912005746
age,30%,"Total variation
 distance(+)",0.04510281385281382,0.019722578112250366,0.06482539196506418,0.0008895437692944085,0.10143779405776308
age,30%,"Jensen-Shannon
 divergence(+)",0.02324486812531108,0.00663827703700879,0.02988314516231987,0.0001543058743045501,0.029691004027247305
age,50%,"Hellinger
 distance(+)",0.011574251856782028,0.013971418677456174,0.025545670534238202,0.00016170871856942623,0.07962890039188197
age,50%,"Wasserstein
 distance(+)",0.0005568419158598005,0.0028851659371319574,0.003442007852991758,1.606581328005996e-06,0.012278094814768768
age,50%,"Contingency
 coefficient(-)",0.004967576781671479,0.06620893263125827,0.07117650941292974,0.00032889795647828967,0.5809449254826936
age,50%,"Total variation
 distance(+)",0.010227046345467408,0.007993743224763539,0.018220789570230947,8.17523824334228e-05,0.14368332739462766
age,50%,"Jensen-Shannon
 divergence(+)",0.0027574686003380595,0.008530758714823505,0.011288227315161565,2.3523299293186075e-05,0.03925958628979977
age,70%,"Hellinger
 distance(+)",0.002889962188677625,0.023599237767284773,0.026489199955962398,6.820090482906597e-05,0.10299344884697714
