Swap_ration,Measurement,Feature,thalach,thal,sex,trestbps,restecg,age,exang,ca,fbs,chol,cp,oldpeak
0.5,Hellinger distance,thalach,1,0.33130687692031446(0.03871812309002827),0.16822343190532543(0.05415433154187352),0.22332234922630959(0.06915781953517405),0.17847075545206334(0.03649647286786314),0.1850002865447834(0.053503961489940265),0.18538066199219272(0.027745299771913236),0.30781801860135627(0.029924903362678505),0.15467785077329832(0.038086899281641884),0.22281210700215182(0.033263550723502),0.3124146531836315(0.04414174584705375),0.23828446441370738(0.07539325800479954)
0.5,Wasserstein distance,thalach,1,0.01215864424376374(0.007965941281025275),0.00211069097740026(0.001962634156309547),0.00211069097740026(0.001962634156309547),0.0026427979464927398(0.0029145508561495025),0.00158745245779262(0.0012962506323323842),0.0031660364661003798(0.001974619575835391),0.010065690165333199(0.007430681136640769),0.0047534889238930195(0.0010472283330439694),0.00634094138168564(0.004252234259951225),0.0110944303055787(0.007168999168741931),0.0042302504042854(0.0036077916353916234)
0.5,Contingency coefficient,thalach,1,0.5276354615900368(0.06226865365364596),0.6641311817430372(0.026849625556829612),0.6264214790875953(0.039784174239014085),0.6621679767025401(0.01809371566479077),0.6556456216769961(0.02763455533044824),0.6593490860190238(0.013735937951711272),0.5597001465526372(0.03905259514893103),0.673901139498829(0.015676903350077768),0.6365076824805099(0.02054700246328198),0.5511072289890563(0.047020261504260384),0.6115302030133574(0.06202752684649945)
0.5,Total variation distance,thalach,1,0.25171057776428113(0.03514009608952639),0.06680552494512441(0.04011678872343175),0.10751687445027262(0.04630284125637437),0.07306424675723894(0.03636564182352586),0.07444525001324218(0.024164047823026127),0.0810287357577876(0.014530965690425295),0.21529179501440338(0.048437847491112226),0.07279933748816653(0.02273746002795057),0.12403141371594877(0.03275831078021958),0.2256155945463508(0.07021789811031463),0.13220784648343045(0.07119126400481657)
0.5,Jensen–Shannon divergence,thalach,1,0.08885694928636062(0.011678836962489147),0.0460573994158832(0.014736111871070568),0.06117725303255754(0.018859251659672324),0.04878727865482828(0.009707360215185883),0.0507015306378677(0.014709766680248825),0.05066927353296328(0.0077769810901480475),0.0829802287041127(0.008233720104289601),0.04200550545828531(0.010364583369272791),0.06036711347811412(0.008894304104728896),0.08415419575516317(0.010930093975555642),0.06505259251690756(0.02055882380125746)
0.5,Propensity score,thalach,1,19.1922(4.612033538473024),5.3786000000000005(3.2450870311903808),9.401(4.544000308098581),5.7176(2.2712976555264612),6.3898(3.2554904638164737),6.062399999999999(1.730407189074294),16.514(3.3511276311116527),4.373(2.0137357324137644),8.740200000000002(2.424771939791452),17.1468(4.479399531187188),10.7626(6.219604218919399)
0.5,Combined score,thalach,1,0.0029(0.0028),0.0(0.0001),0.0001(0.0002),0.0(0.0001),0.0(0.0),0.0(0.0),0.002(0.0024),0.0(0.0),0.0002(0.0003),0.0036(0.0035),0.0004(0.0005)
0.5,Hellinger distance,thal,0.3207183373474866(0.024395371952125305),1,0.26627245987290826(0.03636686032772657),0.2983641253873778(0.027754564466759665),0.26322279459661196(0.031390180071858606),0.27775720127702697(0.030503668724191493),0.28970967203014364(0.04422438541977592),0.343271626518003(0.0716928216631478),0.26661281447830243(0.033781334680918436),0.2990596040404418(0.018836676938583694),0.36479758130590106(0.04012387598096803),0.3255512598169314(0.057686467782693554)
0.5,Wasserstein distance,thal,0.01112103565403336(0.008109002949780834),1,0.01111216720454846(0.005700116138091799),0.0095601885446953(0.007653250961743667),0.011635405724156061(0.004330364990859909),0.01375496515104122(0.005452502763506902),0.0095247147467558(0.0074611757631399935),0.02171883278845908(0.015040074574203388),0.0111299041035182(0.0057147506774489374),0.014810310639741382(0.007650342131247708),0.013276068878857983(0.00939392787924982),0.01374609670155636(0.005087120732525679)
0.5,Contingency coefficient,thal,0.5453721005190186(0.03560336622650596),1,0.6030315475911088(0.03869304995967008),0.5707210344822817(0.03424254365516612),0.6070571107527348(0.0309146187822013),0.5956121511250942(0.03353179121438603),0.5767733174105181(0.04895410663881365),0.5155684633037678(0.08991008297691114),0.6033813664156844(0.03042536068295826),0.5768607469996552(0.02503161561325049),0.4769253941568123(0.0697513347006222),0.5280829623049665(0.08422247527300086)
0.5,Total variation distance,thal,0.23361912473887375(0.035682862241951725),1,0.1836900321848875(0.036085788237699215),0.20356504961482705(0.05065059813780539),0.1833086217229955(0.02988707311496094),0.20503210476027486(0.0395529195034237),0.19728159493454261(0.050738100571432646),0.2992291993098446(0.12702414443798174),0.18267945763913504(0.054496633156453256),0.22803133671111975(0.03510100893301412),0.2930890863246257(0.04604424864704104),0.2565943934283756(0.052551886449954004)
0.5,Jensen–Shannon divergence,thal,0.08613025258672234(0.007777041673526276),1,0.07126080263638353(0.010594778039560788),0.08038260454469778(0.007866287796291442),0.07041890002895122(0.009171931772077398),0.0738083717393359(0.008638931350441463),0.0779717072655924(0.012725613256180546),0.08873776290504694(0.015501531341547877),0.07152592723542947(0.008608377542965073),0.0791580314815434(0.006149852620328022),0.09775565392933341(0.011835108097135158),0.08714365854857772(0.016786478432711083)
0.5,Propensity score,thal,17.8418(2.7205124811329204),1,12.479999999999999(3.546451804268598),15.502799999999999(2.9740495221162675),12.135399999999999(2.9577611533049795),13.485800000000001(3.09265674784642),14.847399999999999(4.4111113610971096),21.2712(8.960676054852112),12.48(3.206072425881861),15.502600000000001(2.070584323325181),23.2034(4.780340054849655),18.8474(6.518205538336452)
0.5,Combined score,thal,0.0023(0.0018),1,0.0008(0.0006),0.0016(0.0016),0.0008(0.0005),0.0015(0.0012),0.0013(0.0013),0.028(0.0411),0.0013(0.0016),0.0022(0.0015),0.0066(0.0047),0.0049(0.0053)
0.5,Hellinger distance,sex,0.17441390352303018(0.06867009362128502),0.273271876865701(0.03807925372833854),1,0.1846196810405341(0.10397743484020293),0.10345676447602067(0.07008997943736035),0.09188251261923865(0.08469658321415252),0.11325663320482766(0.06885369115127811),0.28919418112833206(0.01738469207123719),0.08369828064414707(0.08159973488877248),0.14424805757473008(0.08074859577309113),0.307113969238785(0.05727504458314511),0.2360737338975447(0.09319232754818912)
0.5,Wasserstein distance,sex,0.0052944643424704(0.0041275558895681195),0.012176381142733481(0.006880888166102936),1,0.0036981434351929(0.003977338930404873),0.00317490491558524(0.0026104895304989743),0.0031749049155852596(0.0030907023591501943),0.0037158803341626407(0.0036115828211882735),0.0121586442437637(0.00546388620234267),0.00265166639597762(0.002914523870941747),0.00316603646610038(0.0030618121165897688),0.01268188276337134(0.006589920382077),0.00579996596310826(0.0045117141803456195)
0.5,Contingency coefficient,sex,0.659071338463412(0.034284434082526266),0.5974824714310131(0.03885115998616777),1,0.6408553164907508(0.05053905296345758),0.6864528101244829(0.02324709381175265),0.6866558970413253(0.02451595626424307),0.6842649239548962(0.01845536416929227),0.5840939758457843(0.017185834259036647),0.6887633873706999(0.02457797573313379),0.6706741078613724(0.026104487454167304),0.5531682013684676(0.07076988426843518),0.6059067282068716(0.08204673184794126)
0.5,Total variation distance,sex,0.09083267846076187(0.059507695278411994),0.19434192794707741(0.046795744499096396),1,0.09862527257688543(0.07440502680848202),0.04629175630635585(0.043513010947516605),0.04544642857142854(0.048268414647756046),0.05299583478462786(0.04284084066209815),0.2069469307574147(0.03828981647196526),0.03990660919540228(0.04734509347203025),0.0652462061020181(0.045364323927500755),0.23016358073226809(0.07920780099649555),0.14199447499412426(0.09468919406826869)
0.5,Jensen–Shannon divergence,sex,0.047268882107829056(0.01829360147867941),0.07283025955227337(0.010715190588195402),1,0.05038162763736868(0.028290204854789384),0.028112307506893496(0.019023836498105004),0.024902803211855302(0.02295200569808676),0.03069879790989124(0.018539663661288352),0.07752677717135424(0.00426390094844064),0.0227602559310473(0.022157575604689034),0.03925536415878354(0.021980179082726776),0.08233674626811129(0.01486376993017159),0.06420393748728717(0.025254277636294963)
0.5,Propensity score,sex,6.050800000000001(4.205701910501979),13.157999999999998(3.6852083251832584),1,7.7458(5.6258317216212586),2.7008(2.9592169504786225),2.7006(3.141379862417151),3.0454(2.494202606044665),14.48(1.7392240798701013),2.3674(3.1449841080679564),4.7062(3.259567787299414),16.8024(6.009748600399188),11.0962(8.122251692726593)
0.5,Combined score,sex,0.0002(0.0003),0.0012(0.0011),1,0.0004(0.0008),0.0(0.0001),0.0(0.0001),0.0(0.0001),0.0017(0.0014),0.0(0.0001),0.0(0.0001),0.0046(0.0052),0.0014(0.0021)
0.5,Hellinger distance,trestbps,0.25893666817629396(0.0719400673521076),0.31710364940749475(0.03080053894650761),0.1855105287689411(0.10237957461977007),1,0.1878924052845357(0.06112456437335831),0.24584092847011235(0.045009634773665506),0.23682757403425164(0.022811494044462872),0.2980120610636199(0.03130940158367256),0.16023839792124178(0.0866455937428941),0.23557117384123272(0.0333749327872464),0.2974362012155034(0.05722902926030645),0.26309997334215196(0.05479028603890339)
0.5,Wasserstein distance,trestbps,0.00477122582286278(0.003527101771105592),0.01061553403339546(0.009386389725941958),0.00371588033416264(0.003984332910271218),1,0.0052678589940157805(0.003712735889761863),0.0042213819548005006(0.003166346970814166),0.00369814343519288(0.0012893151823637073),0.01268188276337134(0.009192052703411351),0.0026427979464927398(0.0016828101978374336),0.00686417990129326(0.0035413219046231672),0.010039084816878579(0.0063799603404572575),0.006881916800263019(0.003611909461239338)
0.5,Contingency coefficient,trestbps,0.5942174455794562(0.05845762563032956),0.5493230964901794(0.037291830099804364),0.6419080301311328(0.044904434075748505),1,0.6533051363149454(0.031651785888931604),0.6144659924332101(0.035320801111587204),0.6249079959974603(0.019367080468210902),0.5747824741752388(0.02646360779614013),0.6605990801298698(0.03182245569401091),0.6264129914880548(0.02246150972597398),0.5634487854498202(0.06271491179862129),0.596939618466753(0.057774624317239516)
0.5,Total variation distance,trestbps,0.15261977944288346(0.06322922695453884),0.22572768115818395(0.06620610158312536),0.09941448336609623(0.06425259949590048),1,0.09720774521177741(0.05517262295446045),0.13334854229655818(0.037332101512675624),0.12079020565848242(0.026711354933654043),0.21655057670165823(0.06844902394015484),0.07392532036928585(0.043630271575394106),0.13740133286798697(0.028292508360553872),0.20829439354675722(0.07695038694235797),0.1635154889141263(0.047381346662881234)
0.5,Jensen–Shannon divergence,trestbps,0.07067280542747235(0.019586224942882008),0.08522401694264543(0.007467714020766773),0.05055889162992078(0.027867036449197097),1,0.05101505264075754(0.016336729248355608),0.06715289604927718(0.012393067642207134),0.06485667787954552(0.006040383334189795),0.07940842101671432(0.006732805661479621),0.04381605349555012(0.02366416757850075),0.06387877830788588(0.009148537861866854),0.08023794749005046(0.014960776360313593),0.07147684926048793(0.015129706791701596)
0.5,Propensity score,trestbps,12.4294(5.931362292087712),17.519799999999996(3.537869042234322),7.734399999999999(5.166798877448202),1,6.7232(3.8356594947935614),10.768199999999998(3.6090562422882795),9.757(1.911666498111007),15.48(3.0541349675480935),5.7064(3.74511706626108),9.7514(2.427472562151836),15.7852(5.675719880332362),12.4406(5.208157317132423)
0.5,Combined score,trestbps,0.0007(0.0008),0.0039(0.0062),0.0002(0.0004),1,0.0002(0.0002),0.0002(0.0002),0.0001(0.0001),0.0029(0.003),0.0(0.0),0.0003(0.0003),0.0027(0.0022),0.0005(0.0004)
0.5,Hellinger distance,restecg,0.18186077533375383(0.04541420367134979),0.26239592397958067(0.037682384201321424),0.08369828064414708(0.08159973488877248),0.1996860343707295(0.10429375106287622),1,0.10168238134804561(0.05765945057052646),0.08721816730258596(0.07782615376004708),0.26050424521391674(0.02138066437343255),0.047701199638838766(0.05983778741758259),0.09349814937295406(0.08290960980012621),0.2784790546593735(0.07990568210659316),0.24961385758449822(0.06372227450927648)
0.5,Wasserstein distance,restecg,0.00423911885377026(0.0032015716793060076),0.01163540572415608(0.004645798017524382),0.0026427979464927398(0.0029145508561495025),0.00315716801661552(0.0025780202834817896),1,0.0026427979464927398(0.0029145508561495025),0.00052323851960762(0.00104647703921524),0.007937262288963161(0.004462866019761999),0.00052323851960762(0.00104647703921524),0.00421251350531564(0.004274003834426245),0.008974870878693562(0.005192520720252344),0.007387418420900921(0.004529477554012877)
0.5,Contingency coefficient,restecg,0.6594429876642358(0.020853319626528755),0.6067362948318286(0.034544786691591764),0.6891200976756906(0.024656053885428676),0.6316367916679707(0.04477146218678024),1,0.6899270562661932(0.012675435312224445),0.6883504495100942(0.020272195403445437),0.6085083151420981(0.017165769904559973),0.6990660792195827(0.01113487296544834),0.6876093081563299(0.01984421221182622),0.5732809157844946(0.07479362714191201),0.6077787265497465(0.05727515843546701)
0.5,Total variation distance,restecg,0.08658055803217088(0.03429980408199988),0.18310988663455452(0.03805991222153342),0.038965748980348526(0.04743023627753334),0.10748252913959906(0.05783761697341736),1,0.03928902484241748(0.03153455437633995),0.027780649756456176(0.025730316674348958),0.16123140740423833(0.03931138751957094),0.01412324234904878(0.017370199686349935),0.05100116952939532(0.0512333934101369),0.19101435202728304(0.09344839520733232),0.15438608061591927(0.07027033513635367)
0.5,Jensen–Shannon divergence,restecg,0.04947044131084456(0.012389427611293895),0.07018937302403172(0.010570933802830104),0.02270229628395088(0.022146621068295208),0.054604559614600603(0.028579119787376178),1,0.02760309717278492(0.015616613693191311),0.02396113757848072(0.021445142734596613),0.07058311592267377(0.005282328494579004),0.0130715418411762(0.016439238980162033),0.024993540215515822(0.022062732052425416),0.07540217818635356(0.021290136942546136),0.06764909134990557(0.017270758229430014)
0.5,Propensity score,restecg,6.0566(2.517694230839003),12.1356(3.4920648103951337),2.3617999999999997(3.146201099739176),8.7456(5.040738501449961),1,2.3618(1.7330093363856989),2.3674000000000004(2.5383646388964687),11.7796(1.817663291151582),1.0114(1.3532434518592729),2.6838(2.722906197429504),14.4518(6.983504547145365),11.4408(5.755411206855682)
0.5,Combined score,restecg,0.0001(0.0001),0.001(0.0009),0.0(0.0001),0.0001(0.0002),1,0.0(0.0),0.0(0.0),0.0006(0.0006),0.0(0.0),0.0(0.0001),0.0025(0.0025),0.001(0.0013)
0.5,Hellinger distance,age,0.17979768376210747(0.05299607923118578),0.2844998940755792(0.0323005227699246),0.09188251261923865(0.08469658321415252),0.23422513058409633(0.060813162251477954),0.09349814937295406(0.05449795008865085),1,0.10816146611675843(0.09885833212666445),0.3059963390522376(0.007853947216944959),0.05588543161393032(0.06844539575466654),0.15855352524593008(0.08969159779774848),0.2688579704606381(0.07612442700387793),0.23965428576807252(0.07091863398642607)
0.5,Wasserstein distance,age,0.0031749049155852596(0.0019722283188617993),0.013763833600526122(0.004310613850041354),0.0031837733650701403(0.00515991358662887),0.00633207293220078(0.0020666341753723715),0.00211069097740024(0.0010555317842211216),1,0.00264279794649276(0.003351476119129247),0.010597797134425702(0.006921368886678944),0.001064213938185(0.0021284278763700005),0.003689274985708(0.002675186566168499),0.0084605008085708(0.008949728836597181),0.006332072932200801(0.005887902468928656)
0.5,Contingency coefficient,age,0.6590289497532614(0.025535619199173507),0.5876330882044533(0.03854458136473656),0.6871329651337552(0.023255304565275317),0.6198275678158904(0.045380122529926244),0.6921665537834105(0.012801204906766573),1,0.6775638264951649(0.03619438395184095),0.5649729532173329(0.009772969963286561),0.6971739633626121(0.012167876827885341),0.6610040384230224(0.03854835275867297),0.5859800908122431(0.07868006948564564),0.6140828875259762(0.056833333399244824)
