Features,Swap,Swap_ratio,Distance_measure,Difference,Std,Protected,NonProtected
age,0.1,10%,"Hellinger
 distance(+)",-0.019758483831873598,0.009879241915936799,1.0,0.0
age,0.1,10%,"Wasserstein
 distance(+)",-0.0010127197153696,0.0005063598576848,1.0,0.0
age,0.1,10%,"Contingency
 coefficient(-)",0.004633130461043522,0.002316565230521761,1.0,0.0
age,0.1,10%,"Total variation
 distance(+)",-0.01249999999999998,0.00624999999999999,1.0,0.0
age,0.1,10%,"Jensen-Shannon
 divergence(+)",-0.007392120992211,0.0036960604961055,1.0,0.0
age,0.3,30%,"Hellinger
 distance(+)",-0.019758483831873598,0.009879241915936799,1.0,0.0
age,0.3,30%,"Wasserstein
 distance(+)",-0.0012968311287312202,0.00064841556436561,1.0,0.0
age,0.3,30%,"Contingency
 coefficient(-)",0.005981444645304146,0.002990722322652073,1.0,0.0
age,0.3,30%,"Total variation
 distance(+)",-0.01593614718614716,0.00796807359307358,1.0,0.0
age,0.3,30%,"Jensen-Shannon
 divergence(+)",-0.00837013972254122,0.00418506986127061,1.0,0.0
age,0.5,50%,"Hellinger
 distance(+)",0.008184231975091563,0.004092115987545782,1.0,0.0
age,0.5,50%,"Wasserstein
 distance(+)",0.0006392506800636192,0.0003196253400318096,1.0,0.0
age,0.5,50%,"Contingency
 coefficient(-)",-0.0018751134229472166,0.0009375567114736083,1.0,0.0
age,0.5,50%,"Total variation
 distance(+)",0.004652102283681243,0.0023260511418406217,1.0,0.0
age,0.5,50%,"Jensen-Shannon
 divergence(+)",0.0017749111444928418,0.0008874555722464209,1.0,0.0
age,0.7,70%,"Hellinger
 distance(+)",-0.00627998207036809,0.003139991035184045,1.0,0.0
age,0.7,70%,"Wasserstein
 distance(+)",-0.0013861887506756007,0.0006930943753378003,1.0,0.0
age,0.7,70%,"Contingency
 coefficient(-)",0.00783412776900061,0.003917063884500305,1.0,0.0
age,0.7,70%,"Total variation
 distance(+)",-0.018264564382985446,0.009132282191492723,1.0,0.0
age,0.7,70%,"Jensen-Shannon
 divergence(+)",-0.003219996448903459,0.0016099982244517294,1.0,0.0
sex,0.1,10%,"Hellinger
 distance(+)",0.019758483831873598,0.009879241915936799,0.0,1.0
sex,0.1,10%,"Wasserstein
 distance(+)",0.00087206419934604,0.00043603209967302,0.0,1.0
sex,0.1,10%,"Contingency
 coefficient(-)",-0.004140061640580672,0.002070030820290336,0.0,1.0
sex,0.1,10%,"Total variation
 distance(+)",0.0112121212121212,0.0056060606060606,0.0,1.0
sex,0.1,10%,"Jensen-Shannon
 divergence(+)",0.00688044041237562,0.00344022020618781,0.0,1.0
sex,0.3,30%,"Hellinger
 distance(+)",0.008184231975091563,0.004092115987545782,0.0,1.0
sex,0.3,30%,"Wasserstein
 distance(+)",0.0003791583475417602,0.0001895791737708801,0.0,1.0
sex,0.3,30%,"Contingency
 coefficient(-)",-0.0018226698272727493,0.0009113349136363746,0.0,1.0
sex,0.3,30%,"Total variation
 distance(+)",0.0044480519480519405,0.0022240259740259703,0.0,1.0
sex,0.3,30%,"Jensen-Shannon
 divergence(+)",0.0010539000152297202,0.0005269500076148601,0.0,1.0
sex,0.5,50%,"Hellinger
 distance(+)",0.01975848383187359,0.009879241915936796,0.0,1.0
sex,0.5,50%,"Wasserstein
 distance(+)",0.001024046158822861,0.0005120230794114305,0.0,1.0
sex,0.5,50%,"Contingency
 coefficient(-)",0.0038778528426686165,0.0019389264213343083,0.0,1.0
sex,0.5,50%,"Total variation
 distance(+)",-0.007308992177413244,0.003654496088706622,0.0,1.0
sex,0.5,50%,"Jensen-Shannon
 divergence(+)",0.0010657153181970816,0.0005328576590985408,0.0,1.0
sex,0.7,70%,"Hellinger
 distance(+)",0.02433331869586293,0.012166659347931465,0.0,1.0
sex,0.7,70%,"Wasserstein
 distance(+)",-0.0012129880916735402,0.0006064940458367701,0.0,1.0
sex,0.7,70%,"Contingency
 coefficient(-)",-0.009526235312438569,0.0047631176562192845,0.0,1.0
sex,0.7,70%,"Total variation
 distance(+)",-0.010898670472973902,0.005449335236486951,0.0,1.0
sex,0.7,70%,"Jensen-Shannon
 divergence(+)",0.002753478903089218,0.001376739451544609,0.0,1.0
ca,0.1,10%,"Hellinger
 distance(+)",0.047701199638838766,0.023850599819419383,>=2.0,<=1.0
ca,0.1,10%,"Wasserstein
 distance(+)",-0.00029122737640502024,0.00014561368820251012,>=2.0,<=1.0
ca,0.1,10%,"Contingency
 coefficient(-)",0.15783124569937335,0.07891562284968667,>=2.0,<=1.0
ca,0.1,10%,"Total variation
 distance(+)",-0.0238586638586639,0.01192933192933195,>=2.0,<=1.0
ca,0.1,10%,"Jensen-Shannon
 divergence(+)",0.007993762944028041,0.003996881472014021,>=2.0,<=1.0
ca,0.3,30%,"Hellinger
 distance(+)",0.09356522874347566,0.046782614371737835,>=2.0,<=1.0
ca,0.3,30%,"Wasserstein
 distance(+)",-0.0004380440430512018,0.0002190220215256009,>=2.0,<=1.0
ca,0.3,30%,"Contingency
 coefficient(-)",0.1552048732607587,0.07760243663037936,>=2.0,<=1.0
ca,0.3,30%,"Total variation
 distance(+)",-0.024673841052137213,0.012336920526068607,>=2.0,<=1.0
ca,0.3,30%,"Jensen-Shannon
 divergence(+)",0.007829062983088234,0.003914531491544117,>=2.0,<=1.0
ca,0.5,50%,"Hellinger
 distance(+)",0.2023566193299954,0.1011783096649977,>=2.0,<=1.0
ca,0.5,50%,"Wasserstein
 distance(+)",0.0077268447507771384,0.0038634223753885692,>=2.0,<=1.0
ca,0.5,50%,"Contingency
 coefficient(-)",0.07117246489927376,0.03558623244963688,>=2.0,<=1.0
ca,0.5,50%,"Total variation
 distance(+)",0.12482549799188161,0.062412748995940806,>=2.0,<=1.0
ca,0.5,50%,"Jensen-Shannon
 divergence(+)",0.04531661262441718,0.02265830631220859,>=2.0,<=1.0
ca,0.7,70%,"Hellinger
 distance(+)",0.23454152892012992,0.11727076446006494,>=2.0,<=1.0
ca,0.7,70%,"Wasserstein
 distance(+)",0.010033365571904642,0.005016682785952321,>=2.0,<=1.0
ca,0.7,70%,"Contingency
 coefficient(-)",0.047261116847256535,0.023630558423628267,>=2.0,<=1.0
ca,0.7,70%,"Total variation
 distance(+)",0.16435624278110073,0.08217812139055035,>=2.0,<=1.0
ca,0.7,70%,"Jensen-Shannon
 divergence(+)",0.053043306440997876,0.026521653220498938,>=2.0,<=1.0
thal,0.1,10%,"Hellinger
 distance(+)",0.019758483831873598,0.009879241915936799,3.0,6.0
thal,0.1,10%,"Wasserstein
 distance(+)",0.00784857779411446,0.00392428889705723,3.0,6.0
thal,0.1,10%,"Contingency
 coefficient(-)",-0.32426406871192853,0.16213203435596427,3.0,6.0
thal,0.1,10%,"Total variation
 distance(+)",0.08333333333333334,0.04166666666666667,3.0,6.0
thal,0.1,10%,"Jensen-Shannon
 divergence(+)",0.01823509485661404,0.00911754742830702,3.0,6.0
thal,0.3,30%,"Hellinger
 distance(+)",0.0,0.0,3.0,6.0
thal,0.3,30%,"Wasserstein
 distance(+)",0.00955267346901524,0.004776336734507619,3.0,6.0
thal,0.3,30%,"Contingency
 coefficient(-)",-0.3332640169995843,0.16663200849979215,3.0,6.0
thal,0.3,30%,"Total variation
 distance(+)",0.09950216450216458,0.04975108225108229,3.0,6.0
thal,0.3,30%,"Jensen-Shannon
 divergence(+)",0.0166275929683105,0.00831379648415525,3.0,6.0
thal,0.5,50%,"Hellinger
 distance(+)",0.022648446020551223,0.011324223010275612,3.0,6.0
thal,0.5,50%,"Wasserstein
 distance(+)",0.01662471478207882,0.008312357391039409,3.0,6.0
thal,0.5,50%,"Contingency
 coefficient(-)",-0.45649201352446284,0.22824600676223142,3.0,6.0
thal,0.5,50%,"Total variation
 distance(+)",0.19083333333333335,0.09541666666666668,3.0,6.0
thal,0.5,50%,"Jensen-Shannon
 divergence(+)",0.02858049199029682,0.01429024599514841,3.0,6.0
thal,0.7,70%,"Hellinger
 distance(+)",0.011574251856782028,0.005787125928391014,3.0,6.0
thal,0.7,70%,"Wasserstein
 distance(+)",0.015314788977746439,0.007657394488873219,3.0,6.0
thal,0.7,70%,"Contingency
 coefficient(-)",-0.28203453831162106,0.14101726915581056,3.0,6.0
thal,0.7,70%,"Total variation
 distance(+)",0.17702380952380953,0.08851190476190476,3.0,6.0
thal,0.7,70%,"Jensen-Shannon
 divergence(+)",0.026358712986914362,0.013179356493457181,3.0,6.0
cp,0.1,10%,"Hellinger
 distance(+)",0.04050267994770134,0.02025133997385067,4.0,<=3.0
cp,0.1,10%,"Wasserstein
 distance(+)",0.00179524940348134,0.00089762470174067,4.0,<=3.0
cp,0.1,10%,"Contingency
 coefficient(-)",-0.03438607203025068,0.01719303601512534,4.0,<=3.0
cp,0.1,10%,"Total variation
 distance(+)",0.055090263309903464,0.027545131654951732,4.0,<=3.0
cp,0.1,10%,"Jensen-Shannon
 divergence(+)",0.014578465171079202,0.007289232585539601,4.0,<=3.0
cp,0.3,30%,"Hellinger
 distance(+)",0.022558935567887878,0.011279467783943939,4.0,<=3.0
cp,0.3,30%,"Wasserstein
 distance(+)",0.0006863804412798602,0.0003431902206399301,4.0,<=3.0
cp,0.3,30%,"Contingency
 coefficient(-)",-0.031265738122601694,0.015632869061300847,4.0,<=3.0
cp,0.3,30%,"Total variation
 distance(+)",0.033335719960532584,0.016667859980266292,4.0,<=3.0
cp,0.3,30%,"Jensen-Shannon
 divergence(+)",0.005469313895059301,0.0027346569475296505,4.0,<=3.0
cp,0.5,50%,"Hellinger
 distance(+)",0.0008268706170312945,0.00041343530851564725,4.0,<=3.0
cp,0.5,50%,"Wasserstein
 distance(+)",-0.0018748583468977606,0.0009374291734488803,4.0,<=3.0
cp,0.5,50%,"Contingency
 coefficient(-)",-0.007128135742770492,0.003564067871385246,4.0,<=3.0
cp,0.5,50%,"Total variation
 distance(+)",0.0026500011622910546,0.0013250005811455273,4.0,<=3.0
cp,0.5,50%,"Jensen-Shannon
 divergence(+)",-0.0016905716697195455,0.0008452858348597728,4.0,<=3.0
cp,0.7,70%,"Hellinger
 distance(+)",0.017468504376857014,0.008734252188428507,4.0,<=3.0
cp,0.7,70%,"Wasserstein
 distance(+)",0.0029614141245293407,0.0014807070622646704,4.0,<=3.0
cp,0.7,70%,"Contingency
 coefficient(-)",-0.019086763512862648,0.009543381756431324,4.0,<=3.0
cp,0.7,70%,"Total variation
 distance(+)",0.04173053475481392,0.02086526737740696,4.0,<=3.0
cp,0.7,70%,"Jensen-Shannon
 divergence(+)",0.0028044928030707683,0.0014022464015353842,4.0,<=3.0
