"Swap 
 Percentage",Measurement,Feature,priors_count,race,sex,age,c_charge_degree,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
10%,"Hellinger
 distance",priors_count,-,-,-,-,-,,0.17900603649680585,0.17900603649680585,0.17900603649680585,0,[],[],[]
10%,"Wasserstein
 distance",priors_count,-,-,-,-,-,,0.001561032819836235,0.001561032819836235,0.001561032819836235,0,[],[],[]
10%,"Total variation
 distance",priors_count,-,-,-,-,-,,0.028873173783495087,0.028873173783495087,0.028873173783495087,0,[],[],[]
10%,"Jensen-Shannon
 divergence",priors_count,-,-,-,-,-,,0.01947022109900966,0.01947022109900966,0.01947022109900966,0,[],[],[]
30%,"Hellinger
 distance",priors_count,-,-,-,-,-,,0.30731526006658927,0.30731526006658927,0.30731526006658927,0,[],[],[]
30%,"Wasserstein
 distance",priors_count,-,-,-,-,-,,0.0041138578614147,0.0041138578614147,0.0041138578614147,0,[],[],[]
30%,"Total variation
 distance",priors_count,-,-,-,-,-,,0.078801989940064,0.078801989940064,0.078801989940064,0,[],[],[]
30%,"Jensen-Shannon
 divergence",priors_count,-,-,-,-,-,,0.03304399057473705,0.03304399057473705,0.03304399057473705,0,[],[],[]
50%,"Hellinger
 distance",priors_count,-,-,-,-,-,,0.39386467637362554,0.39386467637362554,0.39386467637362554,0,[],[],[]
50%,"Wasserstein
 distance",priors_count,-,-,-,-,-,,0.006825821905748,0.006825821905748,0.006825821905748,0,[],[],[]
50%,"Total variation
 distance",priors_count,-,-,-,-,-,,0.12264847598943844,0.12264847598943844,0.12264847598943844,0,[],[],[]
50%,"Jensen-Shannon
 divergence",priors_count,-,-,-,-,-,,0.04204438480188272,0.04204438480188272,0.04204438480188272,0,[],[],[]
70%,"Hellinger
 distance",priors_count,-,-,-,-,-,,0.46123507699872696,0.46123507699872696,0.46123507699872696,0,[],[],[]
70%,"Wasserstein
 distance",priors_count,-,-,-,-,-,,0.00951005421936601,0.00951005421936601,0.00951005421936601,0,[],[],[]
70%,"Total variation
 distance",priors_count,-,-,-,-,-,,0.15970488838485933,0.15970488838485933,0.15970488838485933,0,[],[],[]
70%,"Jensen-Shannon
 divergence",priors_count,-,-,-,-,-,,0.04880853134353401,0.04880853134353401,0.04880853134353401,0,[],[],[]
