Feature,"Swap 
 Percentage",Metric,CDI,NDI,NII,Impact_Sum,AVERAGE,NDI2,NII2
priors_count,10%,"Hellinger
 distance(+)",0.17900603649680585,0,0,0.17900603649680585,0.05966867883226862
priors_count,10%,"Wasserstein
 distance(+)",0.001561032819836235,0,0,0.001561032819836235,0.0005203442732787451
priors_count,10%,"Contingency
 coefficient(-)",0.6701363987619946,0,0,0.6701363987619946,0.22337879958733153
priors_count,10%,"Total variation
 distance(+)",0.028873173783495087,0,0,0.028873173783495087,0.009624391261165028
priors_count,10%,"Jensen–Shannon
 divergence(+)",0.01947022109900966,0,0,0.01947022109900966,0.006490073699669887
priors_count,30%,"Hellinger
 distance(+)",0.30731526006658927,0,0,0.30731526006658927,0.10243842002219643
priors_count,30%,"Wasserstein
 distance(+)",0.0041138578614147,0,0,0.0041138578614147,0.0013712859538049002
priors_count,30%,"Contingency
 coefficient(-)",0.5862385102985342,0,0,0.5862385102985342,0.19541283676617807
priors_count,30%,"Total variation
 distance(+)",0.078801989940064,0,0,0.078801989940064,0.026267329980021334
priors_count,30%,"Jensen–Shannon
 divergence(+)",0.03304399057473705,0,0,0.03304399057473705,0.01101466352491235
priors_count,50%,"Hellinger
 distance(+)",0.39386467637362554,0,0,0.39386467637362554,0.1312882254578752
priors_count,50%,"Wasserstein
 distance(+)",0.006825821905748,0,0,0.006825821905748,0.0022752739685826667
priors_count,50%,"Contingency
 coefficient(-)",0.47770668870521427,0,0,0.47770668870521427,0.1592355629017381
priors_count,50%,"Total variation
 distance(+)",0.12264847598943844,0,0,0.12264847598943844,0.040882825329812814
priors_count,50%,"Jensen–Shannon
 divergence(+)",0.04204438480188272,0,0,0.04204438480188272,0.014014794933960906
priors_count,70%,"Hellinger
 distance(+)",0.46123507699872696,0,0,0.46123507699872696,0.15374502566624232
priors_count,70%,"Wasserstein
 distance(+)",0.00951005421936601,0,0,0.00951005421936601,0.0031700180731220034
priors_count,70%,"Contingency
 coefficient(-)",0.3432218700469357,0,0,0.3432218700469357,0.11440729001564524
priors_count,70%,"Total variation
 distance(+)",0.15970488838485933,0,0,0.15970488838485933,0.05323496279495311
priors_count,70%,"Jensen–Shannon
 divergence(+)",0.04880853134353401,0,0,0.04880853134353401,0.01626951044784467
race,10%,"Hellinger
 distance(+)",0.15694432442173015,0,0.710442583876757,0.8673869082984871,0.289128969432829
race,10%,"Wasserstein
 distance(+)",0.001159822851820745,0,0.710442583876757,0.001159822851820745,0.002559605160132568
race,10%,"Contingency
 coefficient(-)",0.6793135999327621,0,2.7168696137127264,0.6793135999327621,1.1320610712151629
race,10%,"Total variation
 distance(+)",0.0238550191252407,0,0.11567904890669523,0.0238550191252407,0.046511356010645315
race,10%,"Jensen–Shannon
 divergence(+)",0.01729138840749404,0,0.07709263713583347,0.01729138840749404,0.03146134184777584
race,30%,"Hellinger
 distance(+)",0.2691763639532748,0,1.2224418711782143,1.4916182351314893,0.4972060783771631
race,30%,"Wasserstein
 distance(+)",0.0025025479194072603,0,1.2224418711782143,0.0025025479194072603,0.006259260363843732
race,30%,"Contingency
 coefficient(-)",0.6159053932415738,0,2.476212578415483,0.6159053932415738,1.0307059905523521
race,30%,"Total variation
 distance(+)",0.06313531427098062,0,0.3109094324844686,0.06313531427098062,0.12468158225181641
race,30%,"Jensen–Shannon
 divergence(+)",0.029515227431105084,0,0.13190518881607374,0.029515227431105084,0.05380680541572627
race,50%,"Hellinger
 distance(+)",0.3484395224713503,0,1.5624368547463627,1.910876377217713,0.6369587924059044
race,50%,"Wasserstein
 distance(+)",0.0039448531499330555,0,1.5624368547463627,0.0039448531499330555,0.009811855056532945
race,50%,"Contingency
 coefficient(-)",0.5375939383449247,0,2.173203410907792,0.5375939383449247,0.9035991164175722
race,50%,"Total variation
 distance(+)",0.10092287541295868,0,0.4830913766526145,0.10092287541295868,0.19467141735519103
race,50%,"Jensen–Shannon
 divergence(+)",0.03804963395354217,0,0.16763379653175084,0.03804963395354217,0.06856114349509766
race,70%,"Hellinger
 distance(+)",0.41422174130846595,0,1.8483377390833013,2.2625594803917672,0.7541864934639224
race,70%,"Wasserstein
 distance(+)",0.00516551266046209,0,1.8483377390833013,0.00516551266046209,0.013458805928977094
race,70%,"Contingency
 coefficient(-)",0.43368545608909015,0,1.7995057184879641,0.43368545608909015,0.7443970581923515
