"Swap 
 Percentage",Measurement,Feature,Saving,Age,Credit,Purpose,Checking,Sex,Job,Housing,,CDI,SUM,AVERAGE,SUM_COMBINED,RAW_NDI,RAW_NII,RAW_NDI_NII
10%,"Hellinger
 distance",Saving,-,-,0.0361/0.0267,0.0273/0.0209,0.0086/0.0066,-,-,-,,0.054210816114399187,0.054210816114399187,0.08130861459000924,0.12621118631078776,[],"[0.026707023407266953, 0.020902412266661934, 0.0065861612772912]","[0.06278344729657728, 0.0482509325926264, 0.015176806421584067]"
10%,"Wasserstein
 distance",Saving,-,-,0.0056/0.0053,0.0039/0.0034,0.0057/0.0005,-,-,-,,0.00575300688998289,0.00575300688998289,0.010389348993440736,0.024516966199175455,[],"[0.005310806933543031, 0.003443694198398919, 0.00051818307497374]","[0.010921449460101311, 0.007389958450973981, 0.006205558288100162]"
10%,"Total variation
 distance",Saving,-,-,0.053/0.0465,0.0417/0.0357,0.0435/0.0066,-,-,-,,0.06567026391482911,0.06567026391482911,0.11004301260743074,0.3156887643994057,[],"[0.04646129333629333, 0.035717159981865865, 0.006567044067044067]","[0.1459106794358987, 0.1131657359598536, 0.05661234900365335]"
10%,"Jensen-Shannon
 divergence",Saving,-,-,0.0187/0.0148,0.0146/0.012,0.0089/0.003,-,-,-,,0.02240833514586808,0.02240833514586808,0.03732043594023083,0.07200541841662066,[],"[0.014821540871060588, 0.01197971733454178, 0.0030229433831231297]","[0.03347366198367088, 0.02658221137434063, 0.01194954505860914]"
30%,"Hellinger
 distance",Saving,-,-,0.0642/0.0521,0.0447/0.0306,0.0147/0.0351,-,-,-,,0.11470159047600066,0.11470159047600066,0.17358897660195075,0.24132683015478262,[],"[0.052070990987859105, 0.03060990086616964, 0.03509388039787144]","[0.11625561632329959, 0.07531218485302198, 0.04975902897846108]"
30%,"Wasserstein
 distance",Saving,-,-,0.0107/0.0101,0.0073/0.01,0.0114/0.0033,-,-,-,,0.018837205429174865,0.018837205429174865,0.030553539127630924,0.05285232160205537,[],"[0.010140409625893796, 0.009982296511250686, 0.00330996125976764]","[0.020868330035437935, 0.01729927988059695, 0.014684711686020483]"
30%,"Total variation
 distance",Saving,-,-,0.1052/0.0959,0.0737/0.0662,0.0688/0.0431,-,-,-,,0.18692728394158598,0.18692728394158598,0.2894992641391789,0.6580115038626866,[],"[0.0958884536396791, 0.06620138495138495, 0.04305412180412179]","[0.29699457337324975, 0.20606810717104831, 0.15494882331838852]"
30%,"Jensen-Shannon
 divergence",Saving,-,-,0.035/0.0298,0.0224/0.0155,0.0136/0.0171,-,-,-,,0.054356611043076805,0.054356611043076805,0.08553435672097862,0.13329309362989306,[],"[0.0298322939166393, 0.01545356613992265, 0.017069631299241685]","[0.06480223464130354, 0.037856118213424106, 0.030634740775165425]"
50%,"Hellinger
 distance",Saving,-,-,0.0969/0.0798,0.0681/0.0476,0.018/0.0389,-,-,-,,0.14374994053424062,0.14374994053424062,0.2269087974358201,0.34927177288627886,[],"[0.07980767560984586, 0.04764141679201641, 0.03886862140129665]","[0.1767332409948637, 0.11570765246114251, 0.05683087943027265]"
50%,"Wasserstein
 distance",Saving,-,-,0.0186/0.0182,0.0126/0.0154,0.0101/0.006,-,-,-,,0.01973992446722693,0.01973992446722693,0.039524107452893614,0.08096576203002065,[],"[0.01824380346099404, 0.01535954755558165, 0.005965014954757677]","[0.03688382943146539, 0.028008900787741077, 0.01607303181081418]"
50%,"Total variation
 distance",Saving,-,-,0.2004/0.1842,0.1293/0.1133,0.0833/0.0678,-,-,-,,0.25051947272470726,0.25051947272470726,0.4331112782892019,1.1433694103126875,[],"[0.18416523952238237, 0.11326464385287913, 0.06775372775372773]","[0.5686985633414204, 0.35583005813047824, 0.2188407888407888]"
50%,"Jensen-Shannon
 divergence",Saving,-,-,0.0559/0.0483,0.0382/0.0271,0.018/0.0204,-,-,-,,0.06938554508188441,0.06938554508188441,0.1172752698072212,0.20791635482254162,[],"[0.048334184568608385, 0.02708585373935612, 0.020359411142709047]","[0.10427584368564198, 0.06528142081279084, 0.03835909032410877]"
70%,"Hellinger
 distance",Saving,-,-,0.1257/0.0904,0.0852/0.0456,0.026/0.034,-,-,-,,0.16452920234782417,0.16452920234782417,0.24951511272769356,0.40691888423597505,[],"[0.09042326769968628, 0.04556841846941057, 0.03398013459064192]","[0.216168405152083, 0.1307723394513112, 0.05997813963258086]"
70%,"Wasserstein
 distance",Saving,-,-,0.0257/0.0271,0.0164/0.0207,0.0179/0.0047,-,-,-,,0.026475275510539152,0.026475275510539152,0.05271880384178494,0.11244430801584995,[],"[0.02707968410218467, 0.02069049329487851, 0.004716879265428387]","[0.05277114305200477, 0.03705602055394522, 0.022617144409899967]"
70%,"Total variation
 distance",Saving,-,-,0.3165/0.2719,0.1813/0.1302,0.1228/0.0684,-,-,-,,0.30805309245483725,0.30805309245483725,0.5433184265061041,1.5616457104302357,[],"[0.2719026071967248, 0.1301893635878011, 0.06843869731800765]","[0.8602843643284819, 0.4416769339218788, 0.259684412179875]"
70%,"Jensen-Shannon
 divergence",Saving,-,-,0.076/0.0575,0.047/0.0236,0.0272/0.0191,-,-,-,,0.08159708735017353,0.08159708735017353,0.131682405769238,0.25027672206630913,[],"[0.05750031043136543, 0.02358510858970157, 0.019085217817061947]","[0.1334702939647488, 0.07054854599762654, 0.046257882103933806]"
