ID,Features,Category,Feature_category,Swap,Swap_ratio,Distance_measure,Value
F_0,age,17-37,age (17-37),0.01,swat_0.01,Hellinger,0.0
F_0,age,17-37,age (17-37),0.01,swat_0.01,wasserstein,0.0
F_0,age,17-37,age (17-37),0.01,swat_0.01,cramers_v,1.0
F_0,age,17-37,age (17-37),0.01,swat_0.01,JS_Divergence,0.0
F_0,age,17-37,age (17-37),0.05,swat_0.05,Hellinger,0.05074989803755934
F_0,age,17-37,age (17-37),0.05,swat_0.05,wasserstein,0.00218525285928803
F_0,age,17-37,age (17-37),0.05,swat_0.05,cramers_v,0.9985642545789384
F_0,age,17-37,age (17-37),0.05,swat_0.05,JS_Divergence,0.0044563984814669
F_0,age,17-37,age (17-37),0.1,swat_0.1,Hellinger,0.09023765594074287
F_0,age,17-37,age (17-37),0.1,swat_0.1,wasserstein,0.0029168892528043397
F_0,age,17-37,age (17-37),0.1,swat_0.1,cramers_v,0.9977294734964129
F_0,age,17-37,age (17-37),0.1,swat_0.1,JS_Divergence,0.042232028795118184
F_0,age,17-37,age (17-37),0.2,swat_0.2,Hellinger,0.20453249036565876
F_0,age,17-37,age (17-37),0.2,swat_0.2,wasserstein,0.0037028550235544896
F_0,age,17-37,age (17-37),0.2,swat_0.2,cramers_v,0.999031434857572
F_0,age,17-37,age (17-37),0.2,swat_0.2,JS_Divergence,0.061444337688232854
F_0,age,17-37,age (17-37),0.4,swat_0.4,Hellinger,0.5073729876151247
F_0,age,17-37,age (17-37),0.4,swat_0.4,wasserstein,0.00533121071795023
F_0,age,17-37,age (17-37),0.4,swat_0.4,cramers_v,0.9843173606122111
F_0,age,17-37,age (17-37),0.4,swat_0.4,JS_Divergence,0.10971111543921905
F_0,age,17-37,age (17-37),0.6,swat_0.6,Hellinger,0.7807991748239556
F_0,age,17-37,age (17-37),0.6,swat_0.6,wasserstein,0.00475078734935036
F_0,age,17-37,age (17-37),0.6,swat_0.6,cramers_v,0.9796569332532323
F_0,age,17-37,age (17-37),0.6,swat_0.6,JS_Divergence,0.10328841497878775
F_0,age,17-37,age (17-37),0.8,swat_0.8,Hellinger,1.1183330600131804
F_0,age,17-37,age (17-37),0.8,swat_0.8,wasserstein,0.00559749927634467
F_0,age,17-37,age (17-37),0.8,swat_0.8,cramers_v,0.9655054777138753
F_0,age,17-37,age (17-37),0.8,swat_0.8,JS_Divergence,0.10667684434388953
F_0,age,17-37,age (17-37),0.95,swat_0.95,Hellinger,1.3440040615326128
F_0,age,17-37,age (17-37),0.95,swat_0.95,wasserstein,0.0056265622373795005
