ID,Features,Category,Feature_category,Swap,Swap_ratio,Distance_measure,Value
F_0,age,17-37,age (17-37),0.01,swat_0.01,Hellinger,0.0
F_0,age,17-37,age (17-37),0.01,swat_0.01,wasserstein,0.0
F_0,age,17-37,age (17-37),0.01,swat_0.01,cramers_v,1.0
F_0,age,17-37,age (17-37),0.01,swat_0.01,JS_Divergence,0.0
F_0,age,17-37,age (17-37),0.05,swat_0.05,Hellinger,0.0006497327553519701
F_0,age,17-37,age (17-37),0.05,swat_0.05,wasserstein,3.580762632254e-05
F_0,age,17-37,age (17-37),0.05,swat_0.05,cramers_v,1.0
F_0,age,17-37,age (17-37),0.05,swat_0.05,JS_Divergence,0.0002845867892235
F_0,age,17-37,age (17-37),0.1,swat_0.1,Hellinger,0.012380862575588819
F_0,age,17-37,age (17-37),0.1,swat_0.1,wasserstein,0.0001981042609499314
F_0,age,17-37,age (17-37),0.1,swat_0.1,cramers_v,0.9993337178404191
F_0,age,17-37,age (17-37),0.1,swat_0.1,JS_Divergence,0.0032835965296960103
F_0,age,17-37,age (17-37),0.2,swat_0.2,Hellinger,0.02801055853980581
F_0,age,17-37,age (17-37),0.2,swat_0.2,wasserstein,0.00041808493235218037
F_0,age,17-37,age (17-37),0.2,swat_0.2,cramers_v,0.9972080721660715
F_0,age,17-37,age (17-37),0.2,swat_0.2,JS_Divergence,0.00533830030288592
F_0,age,17-37,age (17-37),0.4,swat_0.4,Hellinger,0.08340518880784611
F_0,age,17-37,age (17-37),0.4,swat_0.4,wasserstein,0.00066053843702208
F_0,age,17-37,age (17-37),0.4,swat_0.4,cramers_v,0.9861495796066736
F_0,age,17-37,age (17-37),0.4,swat_0.4,JS_Divergence,0.01129690351738072
F_0,age,17-37,age (17-37),0.6,swat_0.6,Hellinger,0.13784972486179825
F_0,age,17-37,age (17-37),0.6,swat_0.6,wasserstein,0.00061644294753684
F_0,age,17-37,age (17-37),0.6,swat_0.6,cramers_v,0.9780542252499919
F_0,age,17-37,age (17-37),0.6,swat_0.6,JS_Divergence,0.015186226161830449
F_0,age,17-37,age (17-37),0.8,swat_0.8,Hellinger,0.20500591918399932
F_0,age,17-37,age (17-37),0.8,swat_0.8,wasserstein,0.0007464759736128901
F_0,age,17-37,age (17-37),0.8,swat_0.8,cramers_v,0.9666141987625421
F_0,age,17-37,age (17-37),0.8,swat_0.8,JS_Divergence,0.01950635389375962
F_0,age,17-37,age (17-37),0.95,swat_0.95,Hellinger,0.2358042786283895
F_0,age,17-37,age (17-37),0.95,swat_0.95,wasserstein,0.00073700991772811
