Features,Swap,Swap_ratio,Distance_measure,Difference,Std,Protected,NonProtected
age,0.1,10%,"Hellinger
 distance(+)",0.0035827234079575396,0.0017913617039787698,<=37,>=38
age,0.1,10%,"Wasserstein
 distance(+)",8.539262588039e-05,4.2696312940195e-05,<=37,>=38
age,0.1,10%,"Contingency
 coefficient(-)",0.0,0.0,<=37,>=38
age,0.1,10%,"Total variation
 distance(+)",0.0017379741428677803,0.0008689870714338902,<=37,>=38
age,0.1,10%,"Jensen-Shannon
 divergence(+)",0.0009679582263088897,0.00048397911315444485,<=37,>=38
age,0.15,15%,"Hellinger
 distance(+)",0.02572297474952661,0.012861487374763305,<=37,>=38
age,0.15,15%,"Wasserstein
 distance(+)",0.0003462275344446496,0.0001731137672223248,<=37,>=38
age,0.15,15%,"Contingency
 coefficient(-)",-0.004257072037015863,0.0021285360185079316,<=37,>=38
age,0.15,15%,"Total variation
 distance(+)",0.00706250734363499,0.003531253671817495,<=37,>=38
age,0.15,15%,"Jensen-Shannon
 divergence(+)",0.0055753446480918305,0.0027876723240459153,<=37,>=38
age,0.2,20%,"Hellinger
 distance(+)",0.012881228601322063,0.0064406143006610315,<=37,>=38
age,0.2,20%,"Wasserstein
 distance(+)",-7.487729715327496e-05,3.743864857663748e-05,<=37,>=38
age,0.2,20%,"Contingency
 coefficient(-)",-0.004506417725414935,0.0022532088627074676,<=37,>=38
age,0.2,20%,"Total variation
 distance(+)",0.00028446902488693006,0.00014223451244346503,<=37,>=38
age,0.2,20%,"Jensen-Shannon
 divergence(+)",0.002371950949571631,0.0011859754747858154,<=37,>=38
age,0.4,40%,"Hellinger
 distance(+)",0.029753581143088792,0.014876790571544396,<=37,>=38
age,0.4,40%,"Wasserstein
 distance(+)",4.74087550194199e-05,2.370437750970995e-05,<=37,>=38
age,0.4,40%,"Contingency
 coefficient(-)",-0.003628593307917427,0.0018142966539587135,<=37,>=38
age,0.4,40%,"Total variation
 distance(+)",0.0018912422596842511,0.0009456211298421256,<=37,>=38
age,0.4,40%,"Jensen-Shannon
 divergence(+)",0.0036222789598118893,0.0018111394799059446,<=37,>=38
age,0.6,60%,"Hellinger
 distance(+)",-0.02906175386522064,0.01453087693261032,<=37,>=38
age,0.6,60%,"Wasserstein
 distance(+)",-6.217809240450004e-05,3.108904620225002e-05,<=37,>=38
age,0.6,60%,"Contingency
 coefficient(-)",0.0024814568847745244,0.0012407284423872622,<=37,>=38
age,0.6,60%,"Total variation
 distance(+)",-0.002061850658844358,0.001030925329422179,<=37,>=38
age,0.6,60%,"Jensen-Shannon
 divergence(+)",-0.0030719308341322204,0.0015359654170661102,<=37,>=38
age,0.8,80%,"Hellinger
 distance(+)",-0.04624096986329282,0.02312048493164641,<=37,>=38
age,0.8,80%,"Wasserstein
 distance(+)",8.564587530840028e-06,4.282293765420014e-06,<=37,>=38
age,0.8,80%,"Contingency
 coefficient(-)",0.0041328300471185075,0.0020664150235592538,<=37,>=38
age,0.8,80%,"Total variation
 distance(+)",-0.00482623391601068,0.00241311695800534,<=37,>=38
age,0.8,80%,"Jensen-Shannon
 divergence(+)",-0.00414267466485474,0.00207133733242737,<=37,>=38
age,0.95,95%,"Hellinger
 distance(+)",-0.026650717143955144,0.013325358571977572,<=37,>=38
age,0.95,95%,"Wasserstein
 distance(+)",0.00019686664056698007,9.843332028349003e-05,<=37,>=38
age,0.95,95%,"Contingency
 coefficient(-)",0.005354036946093488,0.002677018473046744,<=37,>=38
age,0.95,95%,"Total variation
 distance(+)",0.0010222622085165958,0.0005111311042582979,<=37,>=38
age,0.95,95%,"Jensen-Shannon
 divergence(+)",-0.0017417612337726034,0.0008708806168863017,<=37,>=38
race,0.1,10%,"Hellinger
 distance(+)",0.015353564045886201,0.007676782022943101,0,1
race,0.1,10%,"Wasserstein
 distance(+)",0.00014256349765126065,7.128174882563033e-05,0,1
race,0.1,10%,"Contingency
 coefficient(-)",0.06909319320116614,0.03454659660058307,0,1
race,0.1,10%,"Total variation
 distance(+)",0.0020176782535276097,0.0010088391267638048,0,1
race,0.1,10%,"Jensen-Shannon
 divergence(+)",0.0027115575331283504,0.0013557787665641752,0,1
race,0.15,15%,"Hellinger
 distance(+)",0.006935381508117578,0.003467690754058789,0,1
race,0.15,15%,"Wasserstein
 distance(+)",-5.30903045250909e-05,2.654515226254545e-05,0,1
race,0.15,15%,"Contingency
 coefficient(-)",0.010750869648479378,0.005375434824239689,0,1
race,0.15,15%,"Total variation
 distance(+)",-0.001693634386697911,0.0008468171933489555,0,1
race,0.15,15%,"Jensen-Shannon
 divergence(+)",0.0015419156825131697,0.0007709578412565849,0,1
race,0.2,20%,"Hellinger
 distance(+)",0.01499898630327829,0.007499493151639145,0,1
race,0.2,20%,"Wasserstein
 distance(+)",-0.00015290199700729854,7.645099850364927e-05,0,1
race,0.2,20%,"Contingency
 coefficient(-)",-0.002929664767596818,0.001464832383798409,0,1
race,0.2,20%,"Total variation
 distance(+)",-0.002405292373605531,0.0012026461868027655,0,1
race,0.2,20%,"Jensen-Shannon
 divergence(+)",0.0030846086941655705,0.0015423043470827852,0,1
race,0.4,40%,"Hellinger
 distance(+)",-0.0006290652979847461,0.00031453264899237304,0,1
race,0.4,40%,"Wasserstein
 distance(+)",-0.0004706988696892865,0.00023534943484464324,0,1
race,0.4,40%,"Contingency
 coefficient(-)",0.001578368855973955,0.0007891844279869775,0,1
race,0.4,40%,"Total variation
 distance(+)",-0.007502500162161368,0.003751250081080684,0,1
race,0.4,40%,"Jensen-Shannon
 divergence(+)",1.1698176822271325e-05,5.8490884111356625e-06,0,1
race,0.6,60%,"Hellinger
 distance(+)",0.015465927670534993,0.0077329638352674965,0,1
race,0.6,60%,"Wasserstein
 distance(+)",-6.121005760141996e-05,3.060502880070998e-05,0,1
race,0.6,60%,"Contingency
 coefficient(-)",-0.005294917291006729,0.0026474586455033644,0,1
race,0.6,60%,"Total variation
 distance(+)",-0.0001277181334725097,6.385906673625485e-05,0,1
race,0.6,60%,"Jensen-Shannon
 divergence(+)",0.00420745304433494,0.00210372652216747,0,1
race,0.8,80%,"Hellinger
 distance(+)",0.013143533117128486,0.006571766558564243,0,1
race,0.8,80%,"Wasserstein
 distance(+)",-0.00022629537055005,0.000113147685275025,0,1
race,0.8,80%,"Contingency
 coefficient(-)",-0.003532432824130405,0.0017662164120652024,0,1
race,0.8,80%,"Total variation
 distance(+)",2.3469093186501838e-05,1.1734546593250919e-05,0,1
race,0.8,80%,"Jensen-Shannon
 divergence(+)",0.00244280262414461,0.001221401312072305,0,1
race,0.95,95%,"Hellinger
 distance(+)",0.016124701347923653,0.008062350673961827,0,1
race,0.95,95%,"Wasserstein
 distance(+)",-0.0002846199316997198,0.0001423099658498599,0,1
race,0.95,95%,"Contingency
 coefficient(-)",-0.0030830203880782836,0.0015415101940391418,0,1
race,0.95,95%,"Total variation
 distance(+)",-0.0026373243189174306,0.0013186621594587153,0,1
race,0.95,95%,"Jensen-Shannon
 divergence(+)",0.0036497463824126507,0.0018248731912063254,0,1
sex,0.1,10%,"Hellinger
 distance(+)",0.0055285396904672995,0.0027642698452336498,0,1
sex,0.1,10%,"Wasserstein
 distance(+)",-1.399201926787893e-05,6.996009633939465e-06,0,1
sex,0.1,10%,"Contingency
 coefficient(-)",0.0,0.0,0,1
sex,0.1,10%,"Total variation
 distance(+)",-0.0003946358140121194,0.0001973179070060597,0,1
sex,0.1,10%,"Jensen-Shannon
 divergence(+)",0.0008176581527424502,0.0004088290763712251,0,1
sex,0.15,15%,"Hellinger
 distance(+)",0.023819201204365915,0.011909600602182959,0,1
sex,0.15,15%,"Wasserstein
 distance(+)",0.0003261041823813624,0.0001630520911906812,0,1
sex,0.15,15%,"Contingency
 coefficient(-)",-0.007330070473282935,0.0036650352366414674,0,1
sex,0.15,15%,"Total variation
 distance(+)",0.005465895916290709,0.0027329479581453546,0,1
sex,0.15,15%,"Jensen-Shannon
 divergence(+)",0.004206587859898062,0.002103293929949031,0,1
sex,0.2,20%,"Hellinger
 distance(+)",0.00362735492470536,0.00181367746235268,0,1
sex,0.2,20%,"Wasserstein
 distance(+)",5.098619129225996e-05,2.549309564612998e-05,0,1
sex,0.2,20%,"Contingency
 coefficient(-)",-0.002153542350738835,0.0010767711753694176,0,1
sex,0.2,20%,"Total variation
 distance(+)",-0.0001549072414291624,7.74536207145812e-05,0,1
sex,0.2,20%,"Jensen-Shannon
 divergence(+)",0.0013796067719986805,0.0006898033859993402,0,1
sex,0.4,40%,"Hellinger
 distance(+)",0.017221613940119916,0.008610806970059958,0,1
sex,0.4,40%,"Wasserstein
 distance(+)",-1.1080171046010047e-05,5.5400855230050236e-06,0,1
sex,0.4,40%,"Contingency
 coefficient(-)",-4.753718348959879e-07,2.3768591744799394e-07,0,1
sex,0.4,40%,"Total variation
 distance(+)",0.0004807212327339796,0.0002403606163669898,0,1
sex,0.4,40%,"Jensen-Shannon
 divergence(+)",0.0029950737787430405,0.0014975368893715203,0,1
sex,0.6,60%,"Hellinger
 distance(+)",0.003908120309575852,0.001954060154787926,0,1
sex,0.6,60%,"Wasserstein
 distance(+)",2.1865145200869972e-05,1.0932572600434986e-05,0,1
sex,0.6,60%,"Contingency
 coefficient(-)",0.00017888142174671273,8.944071087335637e-05,0,1
sex,0.6,60%,"Total variation
 distance(+)",0.001610734048068302,0.000805367024034151,0,1
sex,0.6,60%,"Jensen-Shannon
 divergence(+)",0.0006343156902659502,0.0003171578451329751,0,1
sex,0.8,80%,"Hellinger
 distance(+)",0.010770669001857261,0.0053853345009286305,0,1
sex,0.8,80%,"Wasserstein
 distance(+)",-2.894547135624001e-05,1.4472735678120005e-05,0,1
sex,0.8,80%,"Contingency
 coefficient(-)",-0.004088207794952892,0.002044103897476446,0,1
sex,0.8,80%,"Total variation
 distance(+)",0.0018121031184174692,0.0009060515592087346,0,1
sex,0.8,80%,"Jensen-Shannon
 divergence(+)",0.0022511685529861217,0.0011255842764930609,0,1
sex,0.95,95%,"Hellinger
 distance(+)",-0.016114412691737565,0.008057206345868782,0,1
sex,0.95,95%,"Wasserstein
 distance(+)",-0.0003429372170985699,0.00017146860854928494,0,1
sex,0.95,95%,"Contingency
 coefficient(-)",0.005895617916704898,0.002947808958352449,0,1
sex,0.95,95%,"Total variation
 distance(+)",-0.006412982053270858,0.003206491026635429,0,1
sex,0.95,95%,"Jensen-Shannon
 divergence(+)",-0.0031330913641530907,0.0015665456820765453,0,1
capital-gain,0.1,10%,"Hellinger
 distance(+)",-0.04436595386308154,0.02218297693154077,<=3471,>=3674
capital-gain,0.1,10%,"Wasserstein
 distance(+)",-0.00061580128946349,0.000307900644731745,<=3471,>=3674
capital-gain,0.1,10%,"Contingency
 coefficient(-)",-0.27111851143457455,0.13555925571728727,<=3471,>=3674
capital-gain,0.1,10%,"Total variation
 distance(+)",-0.01252520745054855,0.006262603725274275,<=3471,>=3674
capital-gain,0.1,10%,"Jensen-Shannon
 divergence(+)",-0.0084783879206482,0.0042391939603241,<=3471,>=3674
capital-gain,0.15,15%,"Hellinger
 distance(+)",-0.10883038843791068,0.05441519421895534,<=3471,>=3674
capital-gain,0.15,15%,"Wasserstein
 distance(+)",0.00032333034109835,0.000161665170549175,<=3471,>=3674
capital-gain,0.15,15%,"Contingency
 coefficient(-)",-0.06719716810507459,0.033598584052537295,<=3471,>=3674
capital-gain,0.15,15%,"Total variation
 distance(+)",-0.0011408927541218805,0.0005704463770609403,<=3471,>=3674
capital-gain,0.15,15%,"Jensen-Shannon
 divergence(+)",-0.01275391780812507,0.006376958904062534,<=3471,>=3674
capital-gain,0.2,20%,"Hellinger
 distance(+)",-0.12598781257021338,0.06299390628510669,<=3471,>=3674
capital-gain,0.2,20%,"Wasserstein
 distance(+)",-0.0006321056474102299,0.00031605282370511496,<=3471,>=3674
capital-gain,0.2,20%,"Contingency
 coefficient(-)",-0.130992436620455,0.0654962183102275,<=3471,>=3674
capital-gain,0.2,20%,"Total variation
 distance(+)",-0.005978919816803482,0.002989459908401741,<=3471,>=3674
capital-gain,0.2,20%,"Jensen-Shannon
 divergence(+)",-0.012763298117787591,0.006381649058893796,<=3471,>=3674
capital-gain,0.4,40%,"Hellinger
 distance(+)",-0.2099724207343844,0.1049862103671922,<=3471,>=3674
capital-gain,0.4,40%,"Wasserstein
 distance(+)",0.0009459657316974999,0.00047298286584874995,<=3471,>=3674
capital-gain,0.4,40%,"Contingency
 coefficient(-)",-0.08623055736041096,0.04311527868020548,<=3471,>=3674
capital-gain,0.4,40%,"Total variation
 distance(+)",0.017727048451072605,0.008863524225536303,<=3471,>=3674
capital-gain,0.4,40%,"Jensen-Shannon
 divergence(+)",-0.004195360811368315,0.0020976804056841575,<=3471,>=3674
capital-gain,0.6,60%,"Hellinger
 distance(+)",-0.2941046266334165,0.14705231331670826,<=3471,>=3674
capital-gain,0.6,60%,"Wasserstein
 distance(+)",0.00267866052447764,0.00133933026223882,<=3471,>=3674
capital-gain,0.6,60%,"Contingency
 coefficient(-)",-0.024236924770748236,0.012118462385374118,<=3471,>=3674
capital-gain,0.6,60%,"Total variation
 distance(+)",0.028238770881998505,0.014119385440999253,<=3471,>=3674
capital-gain,0.6,60%,"Jensen-Shannon
 divergence(+)",0.001803002131928244,0.000901501065964122,<=3471,>=3674
capital-gain,0.8,80%,"Hellinger
 distance(+)",-0.4069214873960446,0.20346074369802233,<=3471,>=3674
capital-gain,0.8,80%,"Wasserstein
 distance(+)",0.0007556169975535799,0.00037780849877678993,<=3471,>=3674
capital-gain,0.8,80%,"Contingency
 coefficient(-)",-0.025559538594386755,0.012779769297193377,<=3471,>=3674
capital-gain,0.8,80%,"Total variation
 distance(+)",0.007238729472804989,0.0036193647364024945,<=3471,>=3674
capital-gain,0.8,80%,"Jensen-Shannon
 divergence(+)",-0.001597887065418628,0.000798943532709314,<=3471,>=3674
capital-gain,0.95,95%,"Hellinger
 distance(+)",-0.5144158099912662,0.25720790499563306,<=3471,>=3674
capital-gain,0.95,95%,"Wasserstein
 distance(+)",0.0002691671246473201,0.00013458356232366004,<=3471,>=3674
capital-gain,0.95,95%,"Contingency
 coefficient(-)",-0.0045349973574571045,0.0022674986787285523,<=3471,>=3674
capital-gain,0.95,95%,"Total variation
 distance(+)",-0.007223466095146874,0.003611733047573437,<=3471,>=3674
